#CAN.Cigarette Consumption/adult, Real Price and Income/adult, 1953-75                                    
   0.760070E 01   0.764156E 01   0.772568E 01   0.780600E 01                    
   0.790267E 01   0.793562E 01   0.795935E 01   0.796652E 01                    
   0.802063E 01   0.804837E 01   0.806731E 01   0.804767E 01                    
   0.808696E 01   0.813385E 01   0.814043E 01   0.808225E 01                    
   0.806250E 01   0.810001E 01   0.810700E 01   0.813406E 01                    
   0.813921E 01   0.817363E 01   0.813238E 01                                   
   0.462006E 01   0.458599E 01   0.458599E 01   0.457265E 01                    
   0.454116E 01   0.451415E 01   0.456643E 01   0.457883E 01                    
   0.456851E 01   0.455913E 01   0.454223E 01   0.453367E 01                    
   0.454116E 01   0.454754E 01   0.455388E 01   0.463084E 01                    
   0.463279E 01   0.461413E 01   0.460517E 01   0.457677E 01                    
   0.454436E 01   0.448413E 01   0.449312E 01                                   
   0.785880E 01   0.783850E 01   0.789611E 01   0.796046E 01                    
   0.796572E 01   0.798582E 01   0.800149E 01   0.801298E 01                    
   0.799897E 01   0.805506E 01   0.807912E 01   0.809773E 01                    
   0.814381E 01   0.817749E 01   0.819282E 01   0.821021E 01                    
   0.822513E 01   0.822735E 01   0.827160E 01   0.831157E 01                    
   0.834676E 01   0.838517E 01   0.844294E 01               
