Diggle (1990) 
c
c     DATA-SETS FROM DIGGLE, P.J. (1990). TIME SERIES : A BIOSTATISTICAL
c     INTRODUCTION. Oxford University Press. 
c
c
c     Table A.1 Lutenizing hormone.
c
c     col 1 : serial number
c     col 2 : Cycle 1, early follicular phase (not included in book)
c     col 3 : Cycle 1, late follicular phase
c     col 4 : Cycle 2, early follicular phase
c     col 5 : Cycle 2, late follicular phase
c
   1  2.2  5.5  2.4  4.3
   2  2.2  4.5  2.4  4.6
   3  2.3  5.1  2.4  4.7
   4  2.0  5.5  2.2  4.1
   5  1.6  5.7  2.1  4.1
   6  1.4  5.1  1.5  5.2
   7  1.8  4.3  2.3  5.0
   8  2.2  4.8  2.3  4.4
   9  2.9  5.6  2.5  4.2
  10  2.6  5.9  2.0  5.1
  11  2.4  6.0  1.9  5.1
  12  2.1  5.1  1.7  4.7
  13  3.0  5.2  2.2  4.4
  14  2.5  4.4  1.8  3.9
  15  2.7  5.5  3.2  5.4
  16  2.2  5.4  3.2  5.9
  17  2.4  4.1  2.7  4.2
  18  2.7  4.4  2.2  4.1
  19  3.1  4.7  2.2  4.1
  20  2.5  4.6  1.9  3.6
  21  2.4  6.0  1.9  3.1
  22  2.3  5.6  1.8  4.8
  23  2.4  5.1  2.7  5.1
  24  1.9  4.7  3.0  5.1
  25  3.3  4.8  2.3  4.5
  26  3.8  5.5  2.0  4.6
  27  3.7  5.1  2.0  5.8
  28  3.5  5.2  2.9  5.0
  29  3.1  5.0  2.9  5.1
  30  2.7  4.0  2.7  4.5
  31  4.1  3.7  2.7  4.2
  32  4.0  4.8  2.3  6.0
  33  3.4  5.9  2.6  5.6
  34  3.2  5.5  2.4  5.4
  35  3.7  4.9  1.8  5.0
  36  3.6  4.4  1.7  4.4
  37  4.1  4.7  1.5  4.6
  38  2.0  4.2  1.4  5.7
  39  4.6  5.5  2.1  5.2
  40  4.1  4.9  3.3  5.0
  41  3.2  4.8  3.5  4.4
  42  2.9  4.5  3.5  5.7
  43  2.7  4.9  3.1  5.7
  44  3.0  4.9  2.6  4.8
  45  0.   4.5  2.1  3.4
  46  0.   4.2  3.4  5.5
  47  0.   4.9  3.0  5.5
  48  0.   5.9  2.9  5.6
c
c     Table A.2 Wool prices.
c
  76  33  33  262.0000  307.0000    1.1718    5.5683    5.7268    0.1585
  76  34  34  259.0000  306.0000    1.1815    5.5568    5.7236    0.1668
  76  35  35  257.0000  306.0000    1.1907    5.5491    5.7236    0.1745
  76  36  36  262.0000  306.0000    1.1679    5.5683    5.7236    0.1553
  76  37  37  264.0000  306.0000    1.1591    5.5759    5.7236    0.1477
  76  38  38  268.0000  313.0000    1.1679    5.5910    5.7462    0.1552
  76  39  39  276.0000  319.0000    1.1558    5.6204    5.7652    0.1448
  76  40  40  283.0000  324.0000    1.1449    5.6454    5.7807    0.1353
  76  41  41  290.0000  332.0000    1.1448    5.6699    5.8051    0.1352
  76  42  42  286.0000  320.0000    1.1189    5.6560    5.7683    0.1123
  76  43  43  288.0000  320.0000    1.1111    5.6630    5.7683    0.1053
  76  44  44  286.0000  314.0000    1.0979    5.6560    5.7494    0.0934
  76  45  45  279.0000  306.0000    1.0968    5.6312    5.7236    0.0924
  76  46  46  279.0000  307.0000    1.1004    5.6312    5.7268    0.0956
  76  47  47  280.0000  308.0000    1.1000    5.6348    5.7301    0.0953
  76  48  48  321.0000  358.0000    1.1153    5.7714    5.8805    0.1091
  76  49  49  328.0000  358.0000    1.0915    5.7930    5.8805    0.0875
  76  50  50  334.0000  360.0000    1.0778    5.8111    5.8861    0.0750
  77   2  54  332.0000  360.0000    1.0843    5.8051    5.8861    0.0810
  77   3  55  332.0000  362.0000    1.0904    5.8051    5.8916    0.0865
  77   4  56  326.0000  361.0000    1.1074    5.7869    5.8889    0.1020
  77   5  57  322.0000  359.0000    1.1149    5.7746    5.8833    0.1087
  77   6  58  324.0000  359.0000    1.1080    5.7807    5.8833    0.1026
  77   7  59  322.0000  359.0000    1.1149    5.7746    5.8833    0.1087
  77   8  60  316.0000  357.0000    1.1297    5.7557    5.8777    0.1220
  77   9  61  314.0000  357.0000    1.1369    5.7494    5.8777    0.1283
  77  10  62  316.0000  357.0000    1.1297    5.7557    5.8777    0.1220
  77  11  63  316.0000  357.0000    1.1297    5.7557    5.8777    0.1220
  77  12  64  315.0000  357.0000    1.1333    5.7526    5.8777    0.1251
  77  13  65  314.0000  356.0000    1.1338    5.7494    5.8749    0.1255
  77  16  68  313.0000  354.0000    1.1310    5.7462    5.8693    0.1231
  77  17  69  312.0000  354.0000    1.1346    5.7430    5.8693    0.1263
  77  18  70  307.0000  354.0000    1.1531    5.7268    5.8693    0.1425
  77  19  71  305.0000  354.0000    1.1607    5.7203    5.8693    0.1490
  77  20  72  305.0000  354.0000    1.1607    5.7203    5.8693    0.1490
  77  21  73  299.0000  354.0000    1.1839    5.7004    5.8693    0.1689
  77  22  74  297.0000  354.0000    1.1919    5.6937    5.8693    0.1756
  77  23  75  300.0000  354.0000    1.1800    5.7038    5.8693    0.1655
  77  24  76  300.0000  354.0000    1.1800    5.7038    5.8693    0.1655
  77  25  77  302.0000  354.0000    1.1722    5.7104    5.8693    0.1589
  77  26  78  300.0000  354.0000    1.1800    5.7038    5.8693    0.1655
  77  33  85  293.0000  349.0000    1.1911    5.6802    5.8551    0.1749
  77  34  86  293.0000  349.0000    1.1911    5.6802    5.8551    0.1749
  77  35  87  293.0000  347.0000    1.1843    5.6802    5.8493    0.1691
  77  36  88  296.0000  347.0000    1.1723    5.6904    5.8493    0.1589
  77  37  89  295.0000  347.0000    1.1763    5.6870    5.8493    0.1623
  77  38  90  297.0000  347.0000    1.1684    5.6937    5.8493    0.1556
  77  39  91  298.0000  347.0000    1.1644    5.6971    5.8493    0.1522
  77  40  92  299.0000  346.0000    1.1572    5.7004    5.8464    0.1460
  77  41  93  301.0000  347.0000    1.1528    5.7071    5.8493    0.1422
  77  42  94  305.0000  348.0000    1.1410    5.7203    5.8522    0.1319
  77  43  95  307.0000  348.0000    1.1336    5.7268    5.8522    0.1254
  77  44  96  306.0000  346.0000    1.1307    5.7236    5.8464    0.1228
  77  45  97  303.0000  345.0000    1.1386    5.7137    5.8435    0.1298
  77  46  98  304.0000  345.0000    1.1349    5.7170    5.8435    0.1265
  77  47  99  303.0000  345.0000    1.1386    5.7137    5.8435    0.1298
