Jenkins & Watts (1980)

   400
JENKINS & WATTS : X(t) = X(t-1) -0.5*X(t-2) + A(t)
(10F6.2)
 -0.88 -0.12 -0.89 -1.38 -0.07  1.03  2.14  0.35 -1.10 -1.78
 -2.76 -1.77  0.98  1.00 -0.70 -1.01 -1.30 -0.85 -0.46  1.63
  0.06 -0.17 -1.01 -1.04 -0.66 -1.12 -0.51 -0.71 -0.20 -0.13
  0.14  1.59 -0.76 -1.08 -1.77 -1.20  0.45 -0.07 -0.63 -0.35
 -0.87 -0.62  0.28  1.90  2.14  1.05  0.31  1.07  2.67  2.44
  1.31  1.10  1.94  0.33  1.82  1.15  0.61 -1.08 -1.62 -0.39
  0.19 -1.59 -2.25  0.29  1.73  2.30  0.80 -0.40  0.30 -0.50
 -2.11 -2.43  0.72  3.09  4.96  1.81 -0.46 -0.33  0.04  0.82
 -1.63 -2.29 -0.77  1.91  1.92  0.85 -0.65  0.35  0.78  1.62
  3.24  1.86  0.76  2.24  0.76 -0.15  0.18  0.60  0.92 -0.70
 -0.03  1.07  0.28 -1.38 -0.63 -1.48  0.19 -1.14  0.31  0.39
 -0.17  0.70  2.14  1.24  0.42  0.61 -0.76 -1.75 -0.37  1.21
  1.40  2.46  1.74  0.78  0.90  1.11  2.20  0.52 -0.22  1.12
  1.02  1.10  1.72  1.80 -0.46 -1.27  0.39  0.93  0.55 -0.45
 -0.87 -0.90  0.64  2.29  2.75  1.43  0.47  1.80  0.46  0.32
 -0.81 -1.81 -2.07  0.96  1.20  0.77 -0.98 -1.46 -1.30 -2.29
 -1.81 -1.61 -1.01 -1.36 -1.78  0.04  1.44  2.58  0.54  0.27
 -0.75 -0.70  0.45 -0.13 -1.03 -1.19 -0.31  1.77  1.89  0.88
  0.58  0.70 -0.32 -1.62  1.08  1.25  0.19 -0.93 -0.61  0.83
  0.46  1.12  0.11 -1.11 -0.85 -1.86 -0.74 -1.04 -0.42  0.16
  0.55 -0.37 -0.62 -1.23 -0.76 -0.79 -1.99 -1.56 -0.36  1.00
  0.02 -0.30 -0.23 -0.63 -1.61 -1.66 -0.80 -1.71 -0.87 -0.74
  1.55  1.39  1.51  2.39  1.68 -0.04 -1.24 -2.24 -1.31 -0.10
  0.46  1.06  1.37  1.67  0.29 -0.31 -2.08 -2.67 -1.50 -1.71
 -0.70 -1.25 -0.25  0.14  1.43  0.47 -1.16 -3.68 -3.41 -1.43
  1.06  2.86  0.72 -1.79 -2.26 -1.87 -1.53 -0.25  1.40  3.37
  0.85 -0.36  0.25  1.57 -0.08  0.78 -0.56 -1.22  0.07 -0.33
 -0.15  1.56  2.23  2.01  0.42 -0.75 -0.47  1.55  3.60  2.07
  1.32  0.06  0.87  0.51 -0.25  0.12  1.54  1.37  1.97  0.81
 -0.67 -2.41 -1.82 -0.45  0.31  0.12 -1.01 -1.12 -1.69 -1.52
 -0.82 -0.81 -0.33 -0.65 -1.86 -0.94  0.50  1.05  1.40  1.52
  0.20  0.64  1.95  1.55  1.74 -0.22 -2.14 -2.33 -1.01  0.42
  2.54  0.86  0.10 -0.04 -1.18 -0.40 -0.53  0.70 -0.14 -0.20
  0.47  1.07  0.85 -0.35 -0.69 -0.63 -2.08 -1.56 -1.00  0.55
  2.08  1.74 -0.34 -1.85 -1.29  1.74  2.58  1.64  1.85 -0.01
 -0.16 -0.29 -0.66 -3.41 -2.33 -2.57 -1.78 -1.31 -2.69 -1.77
 -0.57  1.58  1.78  1.09 -0.54  0.29 -0.26  0.01  1.05  0.94
 -0.91 -2.09 -2.01 -1.12 -0.02  0.98  0.50  2.12  1.68  2.28
  2.59  3.04  1.16  0.50  0.56  0.45  0.35  0.10  2.16  2.60
  1.40  0.62  0.36 -0.09  1.93  1.80  1.13 -1.34 -1.94 -0.89

   100
JENKINS & WATTS : BIVARIATE PROCESS : X1(t) = 0.6*X1(t-1) -0.5*X2(t-1) + A(t)
(10F6.2)
 -0.88 -0.16 -1.87 -1.12  1.38  2.13  2.76  0.56 -0.69 -1.79
 -3.82 -2.38  1.00  0.70 -0.15  0.98  0.11 -0.35 -0.73  0.89
 -1.63 -0.44 -1.37 -1.71 -1.22 -2.00 -0.22  0.38  1.31  0.71
  0.32  0.48 -1.88 -0.94 -1.54 -0.13  1.02  0.02 -0.77  0.11
 -0.60 -0.52 -0.09  1.23  1.46  0.61  0.42  2.16  3.18  2.10
  0.37 -0.24  0.57 -0.53  2.44  1.02 -0.53 -2.49 -2.12 -1.04
 -0.12 -1.88 -1.50  1.54  3.33  3.08  1.71  0.79  1.55  0.89
 -0.89 -1.18  0.89  1.71  3.05  0.15 -1.04  0.12  0.08  0.11
 -2.62 -1.28  1.07  3.20  1.92  0.53 -1.08  0.49 -0.58  0.17
  1.15 -0.97 -1.63  1.14 -0.67 -0.88 -0.07  0.24  0.55 -2.16

   100
JENKINS & WATTS : BIVARIATE PROCESS : X2(t) = 0.4*X1(t-1) +0.5*X2(t-1) + A(t)
(10F6.2)
  0.79  1.12 -1.10 -2.39 -1.75 -0.82 -0.36  1.27  1.75  2.44
  0.36 -2.10 -1.93 -1.30 -1.75 -0.34  0.74  0.49  0.70  0.71
  0.09  0.59  1.54  0.14  0.55 -1.40 -2.55 -1.66 -0.43  0.58
  2.18 -0.24  0.58 -0.18 -1.55 -0.64 -1.09  0.90 -0.66 -0.35
  0.48  0.50  0.05 -0.68  0.24  0.58 -1.26 -0.25  0.25  2.18
  2.96  1.56 -0.36 -0.59 -0.12  3.03  2.11  0.78  0.89 -1.45
 -0.36 -0.37 -1.39 -4.19 -0.73 -0.98  0.36  0.06 -1.94 -0.08
  0.17  1.00 -0.05  0.43  0.15  2.69  0.57  0.29  1.10  0.48
 -1.06 -2.28 -2.03 -0.75  1.00  1.71  0.58  1.97  0.99  1.94
  2.18  3.14  0.60  0.51  1.35  0.56  0.11  0.00  2.34  1.88

   100
JENKINS & WATTS : BIVARIATE PROCESS : Z1(t) = 0.6*Z1(t-1) + A(t)
(10F6.2)
 -2.07 -1.15  0.69 -0.46 -1.49 -0.70 -1.07 -0.69 -0.68  1.27
 -1.05 -0.05 -0.84 -0.62 -0.49 -1.29 -0.49 -1.06 -0.38 -0.52
 -0.13  1.30 -1.51 -0.43 -1.33 -0.78  0.31 -0.95 -0.90 -0.30
 -1.02 -0.53  0.15  1.40  1.22  0.59  0.70  1.70  2.78  1.98
  1.39  1.85  2.60  0.51  2.77  1.16  1.07 -0.48 -0.52  0.37
  0.00 -1.99 -1.75  0.70  0.73  1.16  0.06 -0.02  1.10 -0.35
 -1.67 -1.57  1.16  1.84  3.35  0.40  0.45  1.30  0.93  1.17
 -1.74 -1.28 -0.07  1.50  0.53  0.20 -0.42  1.18  0.82  1.50
  2.92  1.18  1.23  3.16  0.79  0.68  1.14  1.02  1.02 -0.71
 -0.17 -1.50 -0.26 -0.38  0.93 -0.33 -1.12 -2.95 -2.09 -1.11

   100
JENKINS & WATTS: BIV.PROC.: Z2(t)=0.5*Z2(t-1)+2.0*Z1(t-10)+(1/(1-0.5B))*A(t)
(10F6.2)
  0.32  0.35 -2.03 -4.16 -3.55 -1.04  2.60  0.67 -0.25 -0.90
 -4.69 -3.50  1.62  0.81 -0.95 -2.24 -4.50 -4.55 -3.85  0.78
 -0.02 -0.72 -1.84 -1.78 -2.77 -3.65 -3.38 -3.04 -3.03 -2.64
 -1.01  2.88 -1.18 -1.91 -3.75 -3.61 -3.08 -4.18 -4.75 -2.62
 -2.15 -1.61 -1.28  1.14  2.89  4.68  4.94  6.41 10.54  9.06
  8.00  7.91  8.81  2.36  5.92  2.94  2.05 -1.52 -4.87 -2.96
 -2.26 -4.23 -5.26 -0.96  0.37  3.58  1.63  1.05  3.77  1.60
 -3.67 -6.24 -1.82  2.11  7.51  4.88  3.01  6.05  5.67  7.23
  2.32  1.27  1.26  4.86  4.75  3.55  1.50  3.37  5.69  7.52
 10.32  8.41  7.55 10.38  9.14  6.93  6.54  4.13  3.49  0.40

   100
JENKINS & WATTS: SIMULATED SYSTEM: INPUT W1(t)=W1(t-1)-0.5*W1(t-2)+A(t)
(10F6.2)
 -0.88 -0.12 -0.89 -1.38 -0.08  1.04  2.14  0.36 -1.11 -1.78
 -2.76 -1.78  0.98  1.00 -0.71 -1.01 -1.31 -0.85 -0.47  1.64
  0.06 -0.18 -1.02 -1.05 -0.66 -1.13 -0.52 -0.71 -0.21 -0.14
  0.14  1.59 -0.77 -1.09 -1.77 -1.21  0.46 -0.08 -0.64 -0.36
 -0.88 -0.62  0.29  1.91  2.15  1.05  0.32  1.07  2.67  2.45
  1.31  1.11  1.94  0.34  1.83  1.16  0.62 -1.09 -1.62 -0.40
  0.19 -1.60 -2.26  0.30  1.73  2.31  0.81 -0.40  0.30 -0.51
 -2.12 -2.43  0.73  3.09  4.97  1.81 -0.46 -0.34  0.04  0.82
 -1.64 -2.29 -0.77  1.92  1.93  0.85 -0.65  0.35  0.79  1.62
  3.25  1.87  0.76  2.25  0.77 -0.16  0.19  0.61  0.92 -0.70

   100
JENKINS & WATTS: OUTPUT W2(t)=X(t)+Z(t), X(t)=0.25*X(t-1)-0.5*X(t-2)+W1(t)
(10F6.2)
 -1.03 -1.09 -0.47 -2.07 -1.52  2.27  3.14  0.26 -1.78 -1.82
 -2.81  0.11  3.22  1.92  0.06 -3.48 -2.37 -0.34  0.43  1.97
  2.01 -2.39 -0.94 -0.67 -1.25  0.05 -1.32  0.52 -1.15  0.40
  0.80  2.09 -0.46 -2.66 -1.95 -0.84 -0.51  0.82 -1.62 -0.16
  0.48 -0.36 -0.55  1.54  2.83  2.68 -0.57  0.54  4.70  1.90
