;****MODEL DATA FILE FOR IMPORTING DATA AS PLINES IN AUTOCAD WITH GRFIL.lsp***
            ;[comment lines start w/";"              ]
            ;[first text line=title                  ]
            ;[second text line list column headings  ]
            ;[numerical data comma separated         ]
            ;[e.g.......                             ]
            
National Income and Wealth Series F 1-5 GNP, Total & PerCapita in 1958 $ 1874 to 1970
;GNP in Billions, Per Capita in Dollars
;1970 implicit price index=135.2

year, GNP , GNP/Capita
1874, 23.1, 531  
1884, 42.4, 774  
1889, 49.1, 795
1890, 52.7, 836
1891, 55.1, 856
1892, 60.4, 920
1893, 57.5, 859
1894, 55.9, 819
1895, 62.6, 900
1896, 61.3, 865
1897, 67.1, 930
1898, 68.6, 933
1899, 74.8, 1000
1900, 76.9, 1011
1901, 85.7, 1105
1902, 86.5, 1093
1903, 90.8, 1126
1904, 89.7, 1092
1905, 96.3, 1149
1906, 107.5, 1258
1907, 109.2, 1255
1908, 100.2, 1130
1909, 116.8, 1290
1910, 120.1, 1299
1911, 123.2, 1313
1912, 130.2, 1366
1913, 131.4, 1351
1914, 125.6, 1267
1915, 124.5, 1238
1916, 134.3, 1317
1917, 135.2, 1310
1918, 151.8, 1471
1919, 146.4, 1401
1920, 140.0, 1315
1921, 127.8, 1177
1922, 148.0, 1345
1923, 165.9, 1482
1924, 165.5, 1450
1925, 179.4, 1549
1926, 190.0, 1619
1927, 189.8, 1594
1928, 190.9, 1584
1929, 203.6, 1671
1930, 183.5, 1490
1931, 169.3, 1364
1932, 144.2, 1154
1933, 141.5, 1126
1934, 154.3, 1220
1935, 169.5, 1331
1936, 193.0, 1506
1937, 203.2, 1576
1938, 192.9, 1484
1939, 209.4, 1598
1940, 227.2, 1720
1941, 263.7, 1977
1942, 297.8, 2208
1943, 337.1, 2465
1944, 361.3, 2611
1945, 355.2, 2538
1946, 312.6, 2211
1947, 309.9, 2150
1948, 323.7, 2208
1949, 324.1, 2172
1950, 355.3, 2342
1951, 383.4, 2485
1952, 395.1, 2517
1953, 412.8, 2587
1954, 407.0, 2506
1955, 438.0, 2650
1956, 446.1, 2652
1957, 452.5, 2642
1958, 447.3, 2569
1959, 475.9, 2688
1960, 487.7, 2699        ;first year including Alaska & Hawaii
1961, 497.2, 2706
1962, 529.8, 2840
1963, 551.0, 2912
1964, 581.1, 3028
1965, 617.8, 3180
1966, 658.1, 3348
1967, 675.2, 3398
1968, 706.6, 3521
1969, 725.6, 3580
1970, 722.5, 3555

