;U.S. Trade in Goods and Services - Balance of Payments (BOP) Basis
;Value in millions of 2000 dollars
;1960 thru 2005
;U.S. Census Bureau Foreign Trade Division
;NOTE: (1) Data presented on a Balance of Payment (BOP) basis. Information on data sources and methodology
;are available at www.census.gov/foreign-trade/www/press.html. 
;download February 10 2006 - headings renamed by P.Henshaw
 

US Trade Balance 1960-2005
 Period Balance Goods_bal Services_bal Exports Goods_exp Services_exp Imports Goods_imp Services_imp
 1960 3508 4892 -1384 25940 19650 6290 22432 14758 7674
 1961 4195 5571 -1376 26403 20108 6295 22208 14537 7671
 1962 3370 4521 -1151 27722 20781 6941 24352 16260 8092
 1963 4210 5224 -1014 29620 22272 7348 25410 17048 8362
 1964 6022 6801 -779 33341 25501 7840 27319 18700 8619
 1965 4664 4951 -287 35285 26461 8824 30621 21510 9111
 1966 2939 3817 -878 38926 29310 9616 35987 25493 10494
 1967 2604 3800 -1196 41333 30666 10667 38729 26866 11863
 1968 250 635 -385 45543 33626 11917 45293 32991 12302
 1969 91 607 -516 49220 36414 12806 49129 35807 13322
 1970 2254 2603 -349 56640 42469 14171 54386 39866 14520
 1971 -1302 -2260 958 59677 43319 16358 60979 45579 15400
 1972 -5443 -6416 973 67222 49381 17841 72665 55797 16868
 1973 1900 911 989 91242 71410 19832 89342 70499 18843
 1974 -4293 -5505 1212 120897 98306 22591 125190 103811 21379
 1975 12404 8903 3501 132585 107088 25497 120181 98185 21996
 1976 -6082 -9483 3401 142716 114745 27971 148798 124228 24570
 1977 -27246 -31091 3845 152301 120816 31485 179547 151907 27640
 1978 -29763 -33927 4164 178428 142075 36353 208191 176002 32189
 1979 -24565 -27568 3003 224131 184439 39692 248696 212007 36689
 1980 -19407 -25500 6093 271834 224250 47584 291241 249750 41491
 1981 -16172 -28023 11851 294398 237044 57354 310570 265067 45503
 1982 -24156 -36485 12329 275236 211157 64079 299391 247642 51749
 1983 -57767 -67102 9335 266106 201799 64307 323874 268901 54973
 1984 -109072 -112492 3420 291094 219926 71168 400166 332418 67748
 1985 -121880 -122173 294 289070 215915 73155 410950 338088 72862
 1986 -138538 -145081 6543 310033 223344 86689 448572 368425 80147
 1987 -151684 -159557 7874 348869 250208 98661 500552 409765 90787
 1988 -114566 -126959 12393 431149 320230 110919 545715 447189 98526
 1989 -93141 -117749 24607 487003 359916 127087 580144 477665 102479
 1990 -80864 -111037 30173 535233 387401 147832 616097 498438 117659
 1991 -31135 -76937 45802 578344 414083 164261 609479 491020 118459
 1992 -39212 -96897 57685 616883 439631 177252 656094 536528 119566
 1993 -70310 -132451 62141 642863 456943 185920 713173 589394 123779
 1994 -98493 -165831 67338 703254 502859 200395 801747 668690 133057
 1995 -96384 -174170 77786 794387 575204 219183 890771 749374 141397
 1996 -104065 -191000 86935 851602 612113 239489 955667 803113 152554
 1997 -108310 198104 89794 934637 678366 256271 1042947 876470 166477
 1998 -165009 -246687 81678 933495 670416 263079 1098504 917103 181401
 1999 -263394 -346015 82621 966443 683965 282478 1229837 1029980 199857
 2000 -378272 -452414 74142 1071484 771994 299490 1449756 1224408 225348
 2001 -362729 -427188 64459 1007138 718712 288426 1369867 1145900 223967
 2002 -421180 -482297 61117 977276 682422 294854 1398457 1164720 233737
 2003 -494814 -547296 52482 1022567 713421 309146 1517381 1260717 256664
 2004 -617583 -665390 47807 1151448 807536 343912 1769031 1472926 296105
 2005 -725759 -782101 56342 1271102 892512 378590 1996862 1674614 322248

