;U.S. Trade in Goods and Services - Balance of Payments (BOP) Basis
;Value in millions of dollars  1960 thru 2005
;U.S. Census Bureau, Foreign Trade Division
;NOTE:  (1) Data presented on a Balance of Payment (BOP) basis.  Information on data sources and methodology
;are available at www.census.gov/foreign-trade/www/press.html.  Price index from avg of import & export, goods and services index ;http://www.bea.gov/bea/dn/nipaweb/TableView.asp#Mid [Index numbers, 2000=100]   Downloaded on 3/1/2006 At 8:06:29 PM    Last Revised February 28, 2006
;February 10, 2006 - adj to 1958$ & rename headings p.henshaw
US Trade Balance
Period, exp1958$, Inp1958$
1960, 25501, 22052
1961, 25731, 21643
1962, 27113, 23817
1963, 28773, 24684
1964, 31951, 26180
1965, 33016, 28652
1966, 35455, 32778
1967, 36772, 34455
1968, 39758, 39540
1969, 41690, 41613
1970, 45828, 44004
1971, 46116, 47122
1972, 49171, 53152
1973, 58062, 56852
1974, 58359, 60431
1975, 58542, 53065
1976, 61087, 63691
1977, 61337, 72310
1978, 67438, 78687
1979, 74007, 82118
1980, 76577, 82044
1981, 77988, 82272
1982, 74037, 80535
1983, 72823, 88631
1984, 79630, 109467
1985, 81666, 116098
1986, 88215, 127635
1987, 95226, 136629
1988, 112092, 141878
1989, 124216, 147972
1990, 134137, 154402
1991, 144286, 152053
1992, 154118, 163914
1993, 161299, 178940
1994, 174652, 199112
1995, 192492, 215847
1996, 209608, 235222
1997, 236273, 263653
1998, 245447, 288834
1999, 254091, 323341
2000, 273641, 370246
2001, 260965, 354953
2002, 255178, 365153
2003, 259839, 385573
2004, 280634, 431153
2005, 295375, 464025

