Year	CoperCyc
1800 	-0.023089 
1801 	-0.24637 
1802 	-0.627194 
1803 	-0.52936 
1804 	0.5284897 
1805 	1.086013 
1806 	1.0006708 
1807 	1.4909336 
1808 	-0.293348 
1809 	-0.189363 
1810 	-0.535696 
1811 	-2.267887 
1812 	-0.450388 
1813 	-0.745552 
1814 	0.0594841 
1815 	-1.110557 
1816 	-1.980553 
1817 	-3.231894 
1818 	-2.565094 
1819 	-2.336366 
1820 	-1.978479 
1821 	-1.39082 
1822 	-1.744127 
1823 	-1.537808 
1824 	-1.114105 
1825 	0.0843439 
1826 	-0.049965 
1827 	-0.923271 
1828 	-1.071807 
1829 	-1.148959 
1830 	-1.520317 
1831 	-1.415474 
1832 	-0.862458 
1833 	-0.427669 
1834 	-0.467444 
1835 	-0.64654 
1836 	-0.060054 
1837 	-0.228947 
1838 	-0.157557 
1839 	-0.391499 
1840 	0.1123938 
1841 	0.0665423 
1842 	-0.100492 
1843 	-0.285062 
1844 	-0.144051 
1845 	0.2849863 
1846 	0.8644207 
1847 	0.533557 
1848 	0.5625507 
1849 	0.9027403 
1850 	0.9459653 
1851 	0.6301296 
1852 	1.7491664 
1853 	3.8007765 
1854 	3.4349614 
1855 	2.958348 
1856 	3.8506465 
1857 	3.1694318 
1858 	2.5377862 
1859 	2.2796155 
1860 	2.3533953 
1861 	2.1656473 
1862 	1.2212794 
1863 	3.1720639 
1864 	4.071411 
1865 	2.6159836 
1866 	1.8873835 
1867 	0.1325061 
1868 	-0.134372 
1869 	0.2374502 
1870 	-0.233553 
1871 	0.9490109 
1872 	4.2647977 
1873 	2.1356649 
1874 	0.8312977 
1875 	1.2870662 
1876 	0.9991153 
1877 	0.3941246 
1878 	0.211335 
1879 	1.1900833 
1880 	2.016945 
1881 	0.9200446 
1882 	1.0260766 
1883 	0.3419967 
1884 	-0.205532 
1885 	-1.197164 
1886 	-1.2008 
1887 	-1.052622 
1888 	1.0717678 
1889 	-0.034758 
1890 	0.7589138 
1891 	-0.234014 
1892 	-0.809063 
1893 	-1.004239 
1894 	-1.364813 
1895 	-0.648734 
1896 	-0.534385 
1897 	-0.379191 
1898 	-0.101054 
1899 	2.3114235 
1900 	1.891326 
1901 	2.0457137 
1902 	-0.124096 
1903 	0.3774668 
1904 	0.1800673 
1905 	1.2367454 
1906 	2.7113209 
1907 	3.098397 
1908 	0.4982676 
1909 	0.4501134 
1910 	0.2224521 
1911 	0.1016388 
1912 	1.3822594 
1913 	1.0234477 
1914 	0.1753769 
1915 	1.5059687 
1916 	4.3917344 
1917 	3.6280654 
1918 	1.3656506 
1919 	-0.487019 
1920 	-1.181572 
1921 	-1.836361 
1922 	-1.47424 
1923 	-1.270269 
1924 	-1.536461 
1925 	-1.376056 
1926 	-1.435523 
1927 	-1.518103 
1928 	-1.133149 
1929 	-0.380715 
1930 	-1.334592 
1931 	-2.134579 
1932 	-2.547773 
1933 	-2.042737 
1934 	-1.719207 
1935 	-1.698317 
1936 	-1.495406 
1937 	-0.736603 
1938 	-1.36338 
1939 	-1.053981 
1940 	-0.98222 
1941 	-0.975604 
1942 	-1.222777 
1943 	-1.34626 
1944 	-1.363446 
1945 	-1.392305 
1946 	-1.178504 
1947 	-0.354542 
1948 	-0.42549 
1949 	-0.776962 
1950 	-0.480089 
1951 	-0.298745 
1952 	-0.345859 
1953 	0.2341287 
1954 	0.3663711 
1955 	1.3450052 
1956 	1.8682134 
1957 	0.2953754 
1958 	-0.259736 
1959 	0.3057117 
1960 	0.4323308 
1961 	0.1614402 
1962 	0.2239607 
1963 	0.2025331 
1964 	0.3230862 
1965 	0.6224598 
1966 	0.5993057 
1967 	0.7298421 
1968 	0.938933 
1969 	1.3140171 
1970 	2.0266955 
1971 	1.3007137 
1972 	1.1166323 
1973 	1.5341895 
1974 	2.3405915 
1975 	1.0665054 
1976 	1.1890918 
1977 	0.790938 
1978 	0.5256553 
1979 	1.4603172 
1980 	1.2866956 
1981 	0.2589878 
1982 	-0.315866 
1983 	-0.250136 
1984 	-0.663832 
1985 	-0.715449 
1986 	-0.764852 
1987 	-0.321631 
1988 	0.7080269 
1989 	0.8551141 
1990 	0.4778678 
1991 	0.013782 
1992 	-0.097415 
1993 	-0.525378 
1994 	-0.191251 
1995 	-0.491753 
1996 	-0.207661 
1997 	-0.067506 
