OBS,AMSTEOE,DAXINDX,FRCAC40,FTSE100,HNGKNGI,JAPDOWA,SNGALLS,SPCOMP
1/06/1986,275.76,1425.56,,1424.1,1796.59,13053.8,233.63,210.65
1/07/1986,275.43,1428.54,,1415.2,1815.53,12991.2,237.37,213.8
1/08/1986,278.76,1474.24,,1404.2,1826.84,13056.4,240.99,207.97
1/09/1986,272.29,1461.18,,1379.6,1798.51,13034.2,239.68,206.11
1/10/1986,272.89,1448.97,,1394.5,1807.94,12998.2,238.95,205.96
1/13/1986,268.02,1451.64,,1383.2,1799.61,12977.02,237.78,206.72
1/14/1986,270.22,1472.09,,1370.1,1782.23,12928.6,236.81,206.34
1/15/1986,274.42,1507.77,,1390.5,1783.66,12928.6,235.79,208.26
1/16/1986,277.62,1490.79,,1394.5,1797.22,13027.1,233.91,209.17
1/17/1986,276.45,1504.64,,1396,1806.86,13009.7,232.72,208.43
1/20/1986,273.74,1491.04,,1378.3,1775.82,12952,228.57,207.53
1/21/1986,274.35,1462.65,,1378.1,1776.19,12881.5,229.25,205.79
1/22/1986,271.41,1424.05,,1390.9,1737.94,12923.3,225.52,203.49
1/23/1986,261.18,1398.42,,1382.8,1762.29,12888.89,225.32,204.25
1/24/1986,268.01,1449.78,,1392,1745.8,12904.2,226.8,206.43
1/27/1986,269.28,1460.25,,1405,1744.11,12983.4,226.98,207.39
1/28/1986,266.62,1418.45,,1426.3,1754.38,12993.7,226.99,209.81
1/29/1986,264.49,1409.21,,1421,1736.35,12957.1,224.3,210.29
1/30/1986,259.52,1380.06,,1421,1720.21,12949,224.32,209.33
1/31/1986,263.4,1387.12,,1435,1695.78,13024.3,225.85,211.78
2/03/1986,267.21,1394.78,,1425.1,1702.38,13086.5,227.08,213.96
2/04/1986,269.95,1416.79,,1431.6,1728.81,13138.1,227.57,216.24
2/05/1986,268.88,1435,,1424.1,1723.08,13185.7,229.17,212.96
2/06/1986,268,1436,,1426.9,1719.67,13186.6,228.79,213.47
2/07/1986,259.85,1434.14,,1445,1734.04,13212.13,226.43,214.56
2/10/1986,266.87,1437,,1461.5,1734.04,13226.1,226.43,216.24
2/11/1986,264.56,1444.17,,1453.9,1734.04,13226.1,226.43,215.92
2/12/1986,262.57,1434.96,,1470,1743.03,13300.6,227.43,215.97
2/13/1986,260.84,1402.35,,1473.5,1746.4,13293.8,227.49,217.4
2/14/1986,261.76,1392.66,,1477.9,1777.54,13342.78,227.18,219.76
2/17/1986,261.33,1364,,1475.3,1783.08,13447.9,225.7,219.76
2/18/1986,260.54,1406.91,,1491.9,1771.41,13436.2,226.95,222.45
2/19/1986,256.66,1394.5,,1491.4,1751.67,13466.6,228.68,219.76
2/20/1986,255.04,1380.4,,1492.1,1733.17,13355.4,233.15,222.22
2/21/1986,254.61,1395.74,,1518,1747.06,13394.31,232.97,224.62
2/24/1986,251.88,1393.77,,1533,1742.37,13503.5,230.42,224.34
2/25/1986,248,1358.19,,1527.7,1746.05,13576.2,229.01,223.79
2/26/1986,248.85,1344.44,,1534.6,1746.3,13621.7,228.1,224.04
2/27/1986,246.46,1323.93,,1549.5,1720.51,13642.1,227.83,226.77
2/28/1986,247.69,1357.34,,1543.9,1685.3,13640.83,226.27,226.74
3/03/1986,245.27,1361.01,,1534.7,1685.06,13757.6,225.89,225.42
3/04/1986,252.23,1404.3,,1548.9,1695.77,13784.3,226.14,224.38
3/05/1986,257.02,1421.8,,1569.1,1664.33,13807.5,223.39,224.34
3/06/1986,259.66,1421.67,,1566.1,1668.51,13901.6,222.46,225.13
3/07/1986,259.66,1421.06,,1573.8,1682.65,13994.6,221.2,225.57
3/10/1986,263.97,1435.86,,1572.2,1667.07,14056.5,219.87,226.58
3/11/1986,264.31,1455.77,,1597.1,1639.15,14066.19,219.28,231.69
3/12/1986,264.31,1473.7,,1624.5,1590.39,14238.13,217.29,232.54
3/13/1986,266.9,1465.5,,1616.7,1612.67,14414.69,213.71,233.19
3/14/1986,265.45,1473.21,,1624.4,1607.63,14516.77,211.84,236.55
3/17/1986,264.08,1476.99,,1622.6,1566.49,14655.5,211.44,234.67
3/18/1986,265.5,1457.57,,1644.4,1561.72,14639.3,210.95,235.78
3/19/1986,266.61,1481.46,,1659.8,1559.94,14476.5,210.44,235.6
3/20/1986,268.04,1473.97,,1690.1,1605.7,14753.3,211.01,236.54
3/21/1986,267.08,1460.02,,1688.3,1611.73,14753.3,213.13,233.34
3/24/1986,265.9,1443.81,,1663.9,1635.29,14975.5,213.87,235.33
3/25/1986,263.63,1457.02,,1633.8,1626.71,14826.86,215.51,234.72
3/26/1986,263.63,1472.91,,1653.9,1618.8,15059.7,219.33,237.3
3/27/1986,269.81,1481.63,,1668.8,1625.94,15337.18,218.95,238.97
3/28/1986,269.81,1481.63,,1668.8,1625.94,15364.3,218.95,238.97
3/31/1986,269.81,1481.63,,1668.8,1625.94,15859.69,216,238.9
4/01/1986,273.64,1496.95,,1684,1625.94,15745.89,216.47,235.14
4/02/1986,273.82,1497.41,,1702.9,1603.27,15555.5,217.36,235.71
4/03/1986,275.37,1514.94,,1717.6,1625.2,15272.19,215.73,232.47
4/04/1986,274.47,1510.38,,1709.7,1643.8,15019.81,213.83,228.69
4/07/1986,275.1,1531.83,,1688.5,1691.6,15062,212.95,228.63
4/08/1986,272.14,1541.74,,1675.7,1727.93,15014.1,212.74,233.52
4/09/1986,273.33,1535.77,,1659,1752.34,15110.19,211.95,233.75
4/10/1986,271.89,1523.85,,1690.3,1758.57,15203.6,211.07,236.44
4/11/1986,272.9,1544.74,,1694.1,1784.21,15326.3,210.98,235.98
4/14/1986,277.62,1570.48,,1683.1,1785.45,15396.8,208.51,237.79
4/15/1986,273.64,1549.74,,1654.8,1763.73,15352.32,209.74,237.73
4/16/1986,276.06,1572.26,,1662,1791.19,15358.39,209.98,242.22
4/17/1986,277.33,1586.04,,1680.9,1812,15486.8,210.89,243.03
4/18/1986,275.18,1579.07,,1680.2,1790.4,15758.61,212.08,242.38
4/21/1986,274.35,1563.47,,1668.5,1788.38,15827.3,212.19,244.74
4/22/1986,274.32,1558.18,,1665.2,1792.9,15712.89,211.74,242.42
4/23/1986,270.3,1525.88,,1632.7,1783.19,15748,209.99,241.75
4/24/1986,270.18,1512.93,,1615.5,1824.51,15682,209.21,242.02
4/25/1986,269.95,1509.61,,1622.6,1834.62,15689.88,208.8,241.98
4/28/1986,260.95,1472.21,,1628.8,1848.65,15757.9,206.73,243.08
4/29/1986,264.71,1516.3,,1650.1,1826.29,15757.9,208.74,240.51
4/30/1986,264.71,1507.32,,1660.5,1836.99,15825.5,207.62,235.52
5/01/1986,261.86,1507.32,,1640.1,1848.65,15782.6,207.62,235.16
5/02/1986,261.33,1491.7,,1652.5,1843.14,15868.44,207.46,234.79
5/05/1986,260.59,1462.49,,1652.5,1842.44,15868.44,207.54,237.73
5/06/1986,263.97,1483.76,,1636.2,1858.16,15900.14,208.43,237.24
5/07/1986,258.71,1465.68,,1610.1,1865.65,15953.85,209,236.08
5/08/1986,258.71,1465.68,,1602.6,1864.21,16078.23,209.43,237.96
5/09/1986,255.61,1442.59,,1601.6,1852.21,16194.98,209.2,237.85
5/12/1986,253.15,1398.92,,1603.8,1832.5,16105.19,210.08,237.58
5/13/1986,251.08,1388.24,,1623.3,1803.73,15982.3,212.36,236.43
