Year "Rate of firearm suicide" "Rate of firearm homicide" "Rate of non-firearm suicide" "Rate of non-firearm homicide"
1915 4.031636 0.5215052 9.166456 1.303763
1916 3.702076 0.4248284 7.970589 1.416094
1917 3.056176 0.4250311 7.104091 1.052458
1918 3.280707 0.4771938 6.621064 1.312283
1919 2.984728 0.8280212 7.529215 1.309429
1920 3.693712 0.6156186 8.170938 1.492409
1921 3.226317 0.366627 8.15745 1.026556
1922 2.190349 0.4308883 7.378962 1.005406
1923 2.599515 0.2810287 7.921496 1.334886
1924 3.080288 0.4646245 8.15674 1.393873
1925 2.929672 0.2693951 8.856365 1.128092
1926 2.922548 0.5779049 8.817177 1.122787
1927 3.234943 0.5661151 8.734347 1.213104
1928 2.983081 0.5077584 9.345927 1.253528
1929 3.284389 0.7507175 8.99297 1.094796
1930 3.806511 0.6808395 10.78512 0.9129438
1931 3.784579 0.7661091 8.886867 1.19513
1932 2.645654 0.4561473 8.818847 0.9274994
1933 3.092081 0.4977496 8.823744 0.9653326
1934 3.204859 0.4193273 9.165298 1.198078
1935 3.107225 0.6095514 8.652657 0.966362
1936 3.466909 0.457337 8.173054 0.9736851
1937 2.984404 0.5705478 7.563416 0.9948013
1938 3.218072 0.3478996 7.595809 0.8262616
1939 2.82731 0.3874993 8.381467 0.6888877
1940 3.182049 0.5824285 7.216432 0.7813066
1941 2.236319 0.2391033 6.540178 0.6047907
1942 2.033218 0.2367445 6.238914 1.08624
1943 1.644804 0.2626158 5.487288 0.7740255
1944 1.627971 0.4240934 5.759462 1.026032
1945 1.677559 0.365275 5.993215 0.6764351
1946 2.330828 0.3750758 7.474726 0.830525
1947 2.493615 0.4090056 7.348907 0.7916238
1948 2.257172 0.3891676 7.303379 0.7523907
1949 2.655517 0.240261 7.119314 0.6702018
1950 2.298655 0.1589496 6.99378 0.8803359
1951 2.600402 0.4393373 6.958153 0.9142966
1952 3.04523  0.5094681 7.595706 0.9610421
1953 2.790583 0.3743465 8.088153 0.9301944
1954 3.227052 0.4339828 7.555753 0.8679657
1955 2.967479 0.4130557 7.315433 0.9891596
1956 2.938817 0.3288928 7.893427 0.9972879
1957 3.277961 0.5186648 8.858794 0.7987437
1958 3.423985 0.5486504 8.839367 0.9753785
1959 3.072646 0.5469111 8.014733 0.9347208
1960 2.754253 0.4963494 7.873465 0.9732341
1961 2.910431 0.5308929 8.930377 0.8152998
1962 3.174369 0.5957761 10.50055 0.9402092
1963 3.068387 0.5570584 12.61144 0.794493
1964 3.089543 0.5731325 11.41787 0.9313403
1965 2.906654 0.5005416 11.87249 0.9220503
1966 2.931161 0.5431269 11.06082 0.7845167
1967 3.02566 0.5593657 12.04331 0.8220981
1968 2.939551 0.6911693 9.776299 0.8910255
1969 2.691019 0.4403485 9.557194 0.8073056
1970 3.19812 0.5676662 9.20259 0.9514406
1971 3.07639 0.5969114 10.22402 1.147907
1972 2.863873 0.4735537 9.350807 1.172609
1973 3.013802 0.5923935 8.300913 1.281051
1974 3.053364 0.5975556 8.365779 1.165962
1975 2.864753 0.6334127 8.133595 0.9789106
1976 3.057062 0.6057115 7.66047 1.410951
1977 2.959365 0.7046107 8.074839 1.197838
1978 3.252258 0.4805263 7.848597 1.288368
1979 3.602988 0.702686 7.99822 1.102253
1980 3.497704 0.7009017 7.396895 1.197657
1981 3.296867 0.6030854 7.900419 1.299984
1982 3.602417 0.6980919 8.1005 1.198611
1983 3.3001 0.597656 7.899453 1.299252
1984 3.40193 0.8023421 7.599783 1.097604
1985 3.502591 0.6017109 8.100929 1.39977
1986 3.402348 0.5993127 9.002175 1.398396
1987 3.498551 0.6025625 10.2989 1.40188
1988 3.199823 0.7016625 10.10152 1.699717
1989 2.700064 0.4995714 10.69915 1.39761
1990 2.801034 0.4980918 9.69814 1.500135
1991 2.898628 0.497569 9.800951 1.400136
1992 2.800854 0.600183 10.90047 1.400427
1993 2.399942 0.3339542 10.69785 1.341477
1994 2.402724 0.274437 9.297252 1.33858
1995 2.202331 0.3209428 10.39744 1.482977
1996 2.102594 0.5406671 10.90072 1.163253
1997 1.798293 0.4050209 12.90127 1.328468
1998 1.202484 0.2885961 13.09906 1.23455
1999 1.400201 0.3275942 11.69828 1.484741
2000 1.200832 0.3132606 11.09987 1.336579
2001 1.298083 0.2575562 11.30157 1.339292
2002 1.099742 0.2138386 10.70211 1.405225
2003 1.001377 0.1861856 10.09931 1.333491
2004 0.8361743 0.1592713 9.591119 1.14974
