Earnings CPI Real Year Month
 33.1  24.5  135.102  1956 Mar 
 35.4  25.3 139.9209  1956 Jun 
 35.5  25.9 137.0656  1956 Sep 
 37.6  25.9 145.1737  1956 Dec 
 34.6  25.8 134.1085  1957 Mar 
 36.7  26.1  140.613  1957 Jun
 36.7  26.1  140.613  1957 Sep 
 38.8  26.1  148.659  1957 Dec 
 35.2  26.2 134.3511  1958 Mar 
 37.6  26.3 142.9658  1958 Jun 
   38  26.4 143.9394  1958 Sep
 40.2  26.6 151.1278  1958 Dec
 36.1  26.7  135.206  1959 Mar
 38.7  26.8  144.403  1959 Jun
 40.1  26.9 149.0706  1959 Sep
 42.2  27.1 155.7196  1959 Dec
 39.7  27.3 145.4212  1960 Mar
 42.9  27.8 154.3165  1960 Jun
 42.9  28.1  152.669  1960 Sep
   45  28.3 159.0106  1960 Dec
 41.2  28.5 144.5614  1961 Mar
 43.7  28.7 152.2648  1961 Jun
 43.6  28.6 152.4476  1961 Sep
 45.9  28.5 161.0526  1961 Dec
 42.7  28.5 149.8246  1962 Mar
 45.7  28.5 160.3509  1962 Jun
 44.7  28.5 156.8421  1962 Sep
 47.2  28.6  165.035  1962 Dec
 43.8  28.6 153.1469  1963 Mar
   47  28.6 164.3357  1963 Jun
 46.5  28.7 162.0209  1963 Sep
 50.6  28.7 176.3066  1963 Dec
 45.8  28.9 158.4775  1964 Mar
 49.4  29.1 169.7595  1964 Jun
 50.6  29.5 171.5254  1964 Sep
 53.8  29.8 180.5369  1964 Dec
 49.6    30 165.3333  1965 Mar
 52.9  30.3 174.5875  1965 Jun
 53.8  30.6  175.817  1965 Sep
 55.7    31 179.6774  1965 Dec
 51.9  31.1  166.881  1966 Mar
 54.9  31.3 175.3994  1966 Jun
 56.9  31.4 181.2102  1966 Sep
   59  31.7 186.1199  1966 Dec
 55.4  31.9 173.6677  1967 Mar
 59.4  32.2  184.472  1967 Jun
   60  32.7 183.4862  1967 Sep
 62.5  32.8 190.5488  1967 Dec
 58.9  32.9 179.0274  1968 Mar
 62.7  33.2 188.8554  1968 Jun
 63.2  33.3 189.7898  1968 Sep
 67.6  33.6 201.1905  1968 Dec
 63.8  33.9 188.2006  1969 Mar
 67.8  34.1  198.827  1969 Jun
 69.1  34.3 201.4577  1969 Sep
 73.6  34.6 212.7168  1969 Dec
 67.7  34.9 193.9828  1970 Mar
   74  35.4 209.0395  1970 Jun
 75.4  35.6 211.7978  1970 Sep
 80.4  36.3 221.4876  1970 Dec
 76.4  36.7 208.1744  1971 Mar
 83.7  37.3 224.3968  1971 Jun
 84.3    38 221.8421  1971 Sep
 89.9  38.9 231.1054  1971 Dec
 83.4  39.3 212.2137  1972 Mar
 90.6  39.6 228.7879  1972 Jun
 90.5  40.2 225.1244  1972 Sep
 97.3  40.6 239.6552  1972 Dec
 90.8  41.5 218.7952  1973 Mar
100.8  42.9  234.965  1973 Jun
103.1  44.4 232.2072  1973 Sep
112.2    46  243.913  1973 Dec
105.6  47.1 224.2038  1974 Mar
119.9  49.1 244.1955  1974 Jun
  129  51.6      250  1974 Sep
143.9  53.5  268.972  1974 Dec
  134  55.4 241.8773  1975 Mar
145.7  57.4 253.8328  1975 Jun
146.9  57.8 254.1522  1975 Sep
163.7    61 268.3607  1975 Dec
  154  62.8 245.2229  1976 Mar
167.6  64.4 260.2484  1976 Jun
172.2  65.9  261.305  1976 Sep
182.1  69.8 260.8883  1976 Dec
171.3  71.4  239.916  1977 Mar
185.2  73.1 253.3516  1977 Jun
190.2  74.5  255.302  1977 Sep
  198  76.3  259.502  1977 Dec
191.1  77.3 247.2186  1978 Mar
201.6  78.8 255.8376  1978 Jun
  204  80.4 253.7313  1978 Sep
212.7  82.2 258.7591  1978 Dec
207.6  83.6 248.3254  1979 Mar
216.8  85.8 252.6807  1979 Jun
222.6  87.8 253.5308  1979 Sep
231.9  90.4 256.5265  1979 Dec
  229  92.4 247.8355  1980 Mar
240.3    95 252.9474  1980 Jun
  252  96.8 260.3306  1980 Sep
  270  98.8 273.2794  1980 Dec
252.2 101.1  249.456  1981 Mar
274.3 103.4 265.2805  1981 Jun
283.3 105.5 268.5308  1981 Sep
  296 109.9 269.3358  1981 Dec
312.4 111.8 279.4275  1982 Mar
322.3 114.5 281.4847  1982 Jun
329.9 118.5 278.3966  1982 Sep
337.6 121.9 276.9483  1982 Dec
  341 124.6 273.6758  1983 Mar
343.3 127.3 269.6779  1983 Jun
349.7 129.5 270.0386  1983 Sep
  362 132.5 273.2075  1983 Dec
370.6   132 280.7576  1984 Mar
383.8 132.2 290.3177  1984 Jun
386.2   134  288.209  1984 Sep
389.5 135.8 286.8189  1984 Dec
392.7 137.8 284.9782  1985 Mar
397.2 141.1 281.5025  1985 Jun
403.1 144.2 279.5423  1985 Sep
413.9 147.1 281.3732  1985 Dec
422.7 150.5 280.8638  1986 Mar
425.5   153 278.1046  1986 Jun
437.2   157 278.4713  1986 Sep
446.3 161.5 276.3467  1986 Dec
444.5 164.7 269.8846  1987 Mar
450.9 167.2  269.677  1987 Jun
  457   170 268.8235  1987 Sep
  470 172.9 271.8334  1987 Dec
474.9   176 269.8295  1988 Mar
481.7   179 269.1061  1988 Jun
486.2 182.4  266.557  1988 Sep
505.2 186.2 271.3212  1988 Dec
511.6   188 272.1277  1989 Mar
519.1 192.6 269.5223  1989 Jun
527.1   197 267.5635  1989 Sep
  540 200.7 269.0583  1989 Dec
546.3 204.1 267.6629  1990 Mar
555.8 207.4 267.9846  1990 Jun
562.7 208.9 269.3633  1990 Sep
578.2 214.5 269.5571  1990 Dec
  586 214.1 273.7039  1991 Mar
