DATE    TIME    DEMAND
1-Mar-05    6:30    1
1-Mar-05    6:45    2
1-Mar-05    7:00    4
1-Mar-05    7:15    0
1-Mar-05    7:30    10
1-Mar-05    7:45    13
1-Mar-05    8:00    18
1-Mar-05    8:15    19
1-Mar-05    8:30    23
1-Mar-05    8:45    13
1-Mar-05    9:00    14
1-Mar-05    9:15    14
1-Mar-05    9:30    28
1-Mar-05    9:45    20
1-Mar-05    10:00    17
1-Mar-05    10:15    27
1-Mar-05    10:30    15
1-Mar-05    10:45    31
1-Mar-05    11:00    29
1-Mar-05    11:15    25
1-Mar-05    11:30    33
1-Mar-05    11:45    40
1-Mar-05    12:00    36
1-Mar-05    12:15    49
1-Mar-05    12:30    43
1-Mar-05    12:45    47
1-Mar-05    13:00    43
1-Mar-05    13:15    51
1-Mar-05    13:30    38
1-Mar-05    13:45    34
1-Mar-05    14:00    47
1-Mar-05    14:15    45
1-Mar-05    14:30    35
1-Mar-05    14:45    34
1-Mar-05    15:00    31
1-Mar-05    15:15    37
1-Mar-05    15:30    32
1-Mar-05    15:45    32
1-Mar-05    16:00    45
1-Mar-05    16:15    28
1-Mar-05    16:30    40
1-Mar-05    16:45    27
1-Mar-05    17:00    41
1-Mar-05    17:15    44
1-Mar-05    17:30    50
1-Mar-05    17:45    44
1-Mar-05    18:00    50
1-Mar-05    18:15    62
1-Mar-05    18:30    62
1-Mar-05    18:45    69
1-Mar-05    19:00    98
1-Mar-05    19:15    82
1-Mar-05    19:30    66
1-Mar-05    19:45    60
1-Mar-05    20:00    79
1-Mar-05    20:15    60
1-Mar-05    20:30    46
1-Mar-05    20:45    36
1-Mar-05    21:00    27
1-Mar-05    21:15    26
1-Mar-05    21:30    24
1-Mar-05    21:45    12
1-Mar-05    22:00    8
2-Mar-05    6:30    4
2-Mar-05    6:45    3
2-Mar-05    7:00    2
2-Mar-05    7:15    3
2-Mar-05    7:30    10
2-Mar-05    7:45    13
2-Mar-05    8:00    9
2-Mar-05    8:15    16
2-Mar-05    8:30    21
2-Mar-05    8:45    20
2-Mar-05    9:00    12
2-Mar-05    9:15    19
2-Mar-05    9:30    26
2-Mar-05    9:45    18
2-Mar-05    10:00    15
2-Mar-05    10:15    18
2-Mar-05    10:30    33
2-Mar-05    10:45    38
2-Mar-05    11:00    32
2-Mar-05    11:15    32
2-Mar-05    11:30    28
2-Mar-05    11:45    24
2-Mar-05    12:00    41
2-Mar-05    12:15    35
2-Mar-05    12:30    43
2-Mar-05    12:45    41
2-Mar-05    13:00    40
2-Mar-05    13:15    41
2-Mar-05    13:30    44
2-Mar-05    13:45    50
2-Mar-05    14:00    48
2-Mar-05    14:15    56
2-Mar-05    14:30    42
2-Mar-05    14:45    36
2-Mar-05    15:00    33
2-Mar-05    15:15    25
2-Mar-05    15:30    30
2-Mar-05    15:45    31
2-Mar-05    16:00    30
2-Mar-05    16:15    20
2-Mar-05    16:30    33
2-Mar-05    16:45    27
2-Mar-05    17:00    33
2-Mar-05    17:15    39
2-Mar-05    17:30    42
