 0. 0.-1.-1.-1.-1.-1. 1. 1. 1. 1. 1.-1.-1.-1.-1.-1. 1. 1. 1.
 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.-1.-1.-1.-1.-1.-1.-1.-1.
-1.-1. 1. 1. 1. 1. 1.-1.-1.-1.-1.-1.-1.-1.-1.-1.-1. 1. 1. 1.
 1. 1. 0. 0.
 0. 0. 1. 1. 1. 1. 1.-1.-1.-1.-1.-1.-1.-1.-1.-1.-1. 1. 1. 1.
 1. 1.-1.-1.-1.-1.-1. 1. 1. 1. 1. 1.-1.-1.-1.-1.-1. 1. 1. 1.
 1. 1.-1.-1.-1.-1.-1.-1.-1.-1.-1.-1. 1. 1. 1. 1. 1. 1. 1. 1.
 1. 1. 0. 0.
 58.3 61.8 64.2 62.1 55.1 50.6 47.8 49.7 51.6 58.5
 61.5 63.3 65.9 70.9 65.8 57.6 56.1 58.2 61.7 59.2
 57.9 61.3 60.8 63.6 69.5 69.3 70.5 68.0 68.1 65.0
 71.9 64.8 65.8 67.4 64.7 65.7 67.5 58.2 57.0 54.7
 54.9 48.4 49.7 53.1 50.2 51.7 57.4 62.6 65.8 61.5
 61.5 56.8 62.3 57.7 54.0 45.2 51.9 45.6 46.2 50.2
 54.6 55.6 60.4 59.4

