Expenditure Appropriations
2072  1767
2077  2061
2078  2289
2043  2047
2062  1856
2067  1842
1964  1866
1981  2279
1914  2688
1991  3264
2129  3896
2309  4014
2614  4041
2896  3710
3058  3383
3309  3431
3446  3613
3466  3205
3435  2426
3183  2330
2697  1954
2338  1936
2140  2201
2012  2233
2071  2690
2192  2940
2240  3127
2421  3131
2639  2872
2733  2515
2721  2271
2640  2711
2513  2394
2448  2457
2429  2720
2516  2703
2534  2992
2494  2516
2596  2817
2572  3153
2601  2756
2648  3269
2840  3657
2937  3941
3136  4123
3299  4656
3514  4906
3815  4344
4040  5080
4274  5539
4565  5583
4838  6147
5222  6545
5406  6770
5705  5955
5871  6015
5953  6029
5868  5975
5573  5894
5672  5951
5543  5952
5526  5723
5750  6351
5761  6636
5943  6799
6212  7753
6631  7595
6828  7436
6645  6679
6703  6475
6659  6319
6337  5860
6165  5705
5875  5521
5798  5920
5921  5937
5772  6570
5874  7087
5872  7206
6159  8431
6583  9718
6961  10921
7449  11672
8093  12199
9013  12865
9752  14985
10704 16378
11597 12680
