Year Week Week2 Floorprice "19mu price"
  76  33  33  262.0000  307.0000   
  76  34  34  259.0000  306.0000   
  76  35  35  257.0000  306.0000   
  76  36  36  262.0000  306.0000   
  76  37  37  264.0000  306.0000   
  76  38  38  268.0000  313.0000   
  76  39  39  276.0000  319.0000   
  76  40  40  283.0000  324.0000   
  76  41  41  290.0000  332.0000   
  76  42  42  286.0000  320.0000   
  76  43  43  288.0000  320.0000   
  76  44  44  286.0000  314.0000   
  76  45  45  279.0000  306.0000   
  76  46  46  279.0000  307.0000   
  76  47  47  280.0000  308.0000   
  76  48  48  321.0000  358.0000   
  76  49  49  328.0000  358.0000   
  76  50  50  334.0000  360.0000   
  77   2  54  332.0000  360.0000   
  77   3  55  332.0000  362.0000   
  77   4  56  326.0000  361.0000   
  77   5  57  322.0000  359.0000   
  77   6  58  324.0000  359.0000   
  77   7  59  322.0000  359.0000   
  77   8  60  316.0000  357.0000   
  77   9  61  314.0000  357.0000   
  77  10  62  316.0000  357.0000   
  77  11  63  316.0000  357.0000   
  77  12  64  315.0000  357.0000   
  77  13  65  314.0000  356.0000   
  77  16  68  313.0000  354.0000   
  77  17  69  312.0000  354.0000   
  77  18  70  307.0000  354.0000   
  77  19  71  305.0000  354.0000   
  77  20  72  305.0000  354.0000   
  77  21  73  299.0000  354.0000   
  77  22  74  297.0000  354.0000   
  77  23  75  300.0000  354.0000   
  77  24  76  300.0000  354.0000   
  77  25  77  302.0000  354.0000   
  77  26  78  300.0000  354.0000   
  77  33  85  293.0000  349.0000   
  77  34  86  293.0000  349.0000   
  77  35  87  293.0000  347.0000   
  77  36  88  296.0000  347.0000   
  77  37  89  295.0000  347.0000   
  77  38  90  297.0000  347.0000   
  77  39  91  298.0000  347.0000   
  77  40  92  299.0000  346.0000   
  77  41  93  301.0000  347.0000   
  77  42  94  305.0000  348.0000   
  77  43  95  307.0000  348.0000   
  77  44  96  306.0000  346.0000   
  77  45  97  303.0000  345.0000   
  77  46  98  304.0000  345.0000   
  77  47  99  303.0000  345.0000   
  77  48 100  300.0000  345.0000   
  77  49 101  299.0000  345.0000   
  77  50 102  297.0000  345.0000   
  78   2 106  297.0000  345.0000   
  78   3 107  297.0000  345.0000   
  78   4 108  298.0000  345.0000   
  78   5 109  299.0000  345.0000   
  78   6 110  303.0000  347.0000   
  78   7 111  304.0000  348.0000   
  78   8 112  304.0000  349.0000   
  78   9 113  306.0000  350.0000   
  78  10 114  307.0000  348.0000   
  78  11 115  304.0000  347.0000   
  78  15 119  305.0000  350.0000   
  78  16 120  307.0000  353.0000   
  78  17 121  307.0000  354.0000   
  78  18 122  307.0000  355.0000   
  78  19 123  308.0000  355.0000   
  78  20 124  308.0000  355.0000   
  78  21 125  309.0000  355.0000   
  78  22 126  312.0000  355.0000   
  78  23 127  315.0000  358.0000   
  78  24 128  314.0000  358.0000   
  78  25 129  310.0000  355.0000   
  78  33 137  316.0000  356.0000   
  78  34 138  314.0000  356.0000   
  78  35 139  316.0000  356.0000   
  78  36 140  314.0000  356.0000   
  78  37 141  314.0000  356.0000   
  78  38 142  316.0000  357.0000   
  78  39 143  316.0000  357.0000   
  78  40 144  316.0000  356.0000   
  78  41 145  317.0000  358.0000   
  78  42 146  317.0000  358.0000   
  78  43 147  316.0000  358.0000   
  78  44 148  315.0000  359.0000   
  78  45 149  315.0000  359.0000   
  78  46 150  315.0000  358.0000   
  78  47 151  315.0000  357.0000   
  78  48 152  316.0000  357.0000   
  78  49 153  318.0000  360.0000   
  78  50 154  318.0000  360.0000   
  79   2 158  318.0000  358.0000   
  79   3 159  319.0000  359.0000   
  79   4 160  319.0000  363.0000   
  79   5 161  320.0000  363.0000   
  79   6 162  322.0000  371.0000   
  79   7 163  330.0000  379.0000   
  79   8 164  343.0000  400.0000   
  79   9 165  354.0000  405.0000   
  79  10 166  356.0000  412.0000   
  79  11 167  366.0000  427.0000   
  79  12 168  364.0000  427.0000   
  79  13 169  371.0000  434.0000   
  79  14 170  369.0000  448.0000   
  79  18 174  364.0000  448.0000   
  79  19 175  363.0000  469.0000   
  79  20 176  362.0000  469.0000   
  79  21 177  364.0000  469.0000   
  79  22 178  361.0000  469.0000   
  79  23 179  360.0000  469.0000   
  79  24 180  362.0000  462.0000   
  79  25 181  363.0000  462.0000   
  79  26 182  361.0000  462.0000   
  79  31 187  364.0000  462.0000   
  79  34 190  369.0000  464.0000   
  79  35 191  365.0000  464.0000   
  79  36 192  366.0000  464.0000   
  79  37 193  368.0000  469.0000   
  79  38 194  370.0000  469.0000   
  79  39 195  382.0000  490.0000   
  79  40 196  408.0000  521.0000   
  79  41 197  414.0000  536.0000   
