	Yrwk	Orr	Vvd	Cda	D66	Pvda	Glef	trend	wnOrr	wnVvd	wnCda	wnD66	wnPvda	wnGlef
1978-1	7801	6.3636	5.0101	4.9643	3.15	2.75	1.9474	0.0001	22	100	228	41	263	19
1978-2	7802	6.2	4.9846	4.9923	3.4324	2.6868	2.0714	0.0002	21	135	263	37	286	28
1978-3	7803	6.0455	4.9615	5.0844	3.4737	2.6947	2.3462	0.0003	23	132	313	38	338	27
1978-4	7804	5.625	5.0976	5.2417	3.2807	2.9786	2.7727	0.0004	16	130	254	60	345	23
1978-5	7805	6.4706	4.8506	5.0712	3.3333	2.8741	2.08	0.0005	18	162	290	42	305	26
1978-6	7806	6.9	5.0824	5.2551	3.2609	2.8326	2.125	0.0006	10	89	207	24	242	16
1978-7	7807	5.8	4.9685	5.1607	3.25	2.9901	2.5926	0.0007	25	134	237	51	321	28
1978-8	7808	6.2143	5.0226	5.1463	3.7143	2.8503	2.2	0.0008	15	138	258	28	377	27
1978-9	7809	6.3182	4.7863	5.2868	3.4727	2.8082	2.4074	0.0009	22	121	275	61	381	27
1978-10	7810	6	5.0323	5.0772	3.7045	2.8834	2.0313	0.001	9	159	300	48	334	33
1978-11	7811	6.2	5.1181	5.3314	3.5192	3.0052	2.4231	0.0011	27	155	379	55	417	27
1978-12	7812	6.5652	5.084	5.1275	3.4286	2.9009	2.2083	0.0012	24	126	319	43	366	25
1978-13	7813	6.3333	5.087	5.2032	3.46	2.9608	2.2759	0.0013	18	117	339	51	382	30
1978-14	7814	6.125	4.9174	5.2178	3.3585	2.7729	2.3939	0.0014	33	115	372	56	366	36
1978-15	7815	5.9333	5.1863	5.0276	3.5714	3.0123	2.1852	0.0015	15	104	306	52	343	28
1978-16	7816	6.15	5.0102	5.2704	3.62	2.9731	2.4286	0.0016	20	101	326	51	320	37
1978-17	7817	6.0769	5.2188	5.0816	3.1622	3.1	2.2083	0.0017	27	101	303	38	305	25
1978-18	7818	6.2778	5.023	5.1521	3.5652	2.9331	2.2381	0.0018	19	90	222	47	251	22
1978-19	7819	6.125	5.3067	5.1938	3.7	2.7807	2.2857	0.0019	18	80	238	40	193	28
1978-20	7820	6.4	5.2716	5.1398	3.6341	2.8783	2.381	0.002	20	86	249	43	280	23
1978-21	7821	6	4.9681	5.3009	3.6346	2.744	2.1111	0.0021	17	97	241	52	267	18
1978-22	7822	6.5789	5.0769	4.9684	3.7436	2.9876	2.2609	0.0022	24	67	201	41	254	23
1978-23	7823	6.6111	5.0087	4.9737	3.62	2.9277	2.3429	0.0023	18	117	243	52	264	35
1978-24	7824	5.9412	4.9709	5.1259	3.5085	2.8521	2.3077	0.0024	17	111	290	60	275	28
1978-25	7825	6.1429	4.8557	4.8432	3.5556	2.8111	2.4839	0.0025	21	104	244	38	237	33
1978-26	7826	5.5833	4.8767	5.0199	3.3659	2.9512	2.1875	0.0026	12	76	214	44	269	16
1978-27	7827	5.6923	4.8571	4.8156	3.2857	2.8095	2.5833	0.0027	13	45	152	23	184	14
1978-28	7828	6.125	5.209	5.0678	3.5294	2.8135	2.2632	0.0028	9	72	254	54	283	21
1978-29	7829	5.76	5.1935	4.9434	3.6216	2.7054	2.0323	0.0029	25	69	231	42	249	33
1978-30	7830	6.3158	4.9506	5.2757	3.4857	2.8086	2.1538	0.003	20	85	230	36	222	27
1978-31	7831	6.08	5.0476	5.1635	3.5417	3.0833	2.3125	0.0031	26	88	217	26	232	32
1978-32	7832	6.0556	4.9785	5.136	3.5909	3.0269	2.4348	0.0032	20	98	237	45	276	24
1978-33	7833	6.1765	5.2121	5.0508	3.475	2.9563	2.6522	0.0033	17	102	269	42	278	23
1978-34	7834	5.9091	5	5.327	3.5625	3.009	2.4286	0.0034	22	90	335	51	244	22
1978-35	7835	6.1667	5.3204	5.1884	3.5455	2.8458	2.45	0.0035	26	109	288	48	257	22
1978-36	7836	6.4286	5.25	5.0323	3.3333	2.8263	2.52	0.0036	14	104	299	50	288	27
1978-37	7837	6.1053	4.622	5.0549	3.3111	2.9066	2.087	0.0037	21	86	247	47	264	23
1978-38	7838	6	4.8933	5.1286	3.549	2.9119	1.9355	0.0038	16	79	263	56	248	36
1978-39	7839	6.3889	4.7887	5.105	3.625	2.877	2.4444	0.0039	18	76	267	44	275	19
1978-40	7840	6.0625	4.9583	5.0556	3.6809	2.9223	1.9333	0.004	18	99	272	48	313	31
1978-41	7841	6.2759	5	5.0182	3.6471	2.9129	2.05	0.0041	33	105	301	54	357	23
1978-42	7842	6.1111	4.9	5.0249	3.86	2.9959	2.2667	0.0042	18	95	210	52	264	18
1978-43	7843	6.6429	5.1942	5.1374	3.4091	2.9692	2.2059	0.0043	14	108	218	44	276	35
1978-44	7844	6.5	4.75	4.9245	3.7143	2.8689	2.1	0.0044	2	41	113	29	128	10
1978-45	7845	6.125	5.1915	5.0192	3.5294	2.8924	2.625	0.0045	26	99	219	52	242	32
1978-46	7846	6.3077	4.9846	5.033	3.4286	3.0547	2.0625	0.0046	15	69	192	50	214	18
1978-47	7847	5.5556	4.7703	5.1741	3.549	2.9299	2.16	0.0047	11	78	219	52	225	27
1978-48	7848	6.0909	5.0357	5.1292	3.8529	2.9725	2.9615	0.0048	23	57	188	38	233	28
1978-49	7849	6.4286	5.3158	5.0333	3.7568	3.076	2.2	0.0049	16	59	161	38	186	16
1978-50	7850	5.8947	5.1493	5.162	3.4127	2.8395	2.52	0.005	21	73	193	67	254	26
1978-51	7851	6.75	5.3333	5.1183	3.4286	2.7281	2	0.0051	8	78	196	44	246	18
1978-52	7876.5	6.625	5.2681	5.104	3.5182	2.817	2.1852	0.0052	0	0	0	0	0	0
1979-1	7876.5	6.625	5.2681	5.104	3.5182	2.817	2.1852	0.0053	0	0	0	0	0	0
1979-2	7902	6.5	5.2029	5.0897	3.6078	2.9059	2.3704	0.0054	14	71	164	52	211	27
1979-3	7903	5.9333	5.0299	5.1436	3.6579	2.9048	2.2941	0.0055	16	72	186	40	245	18
1979-4	7904	5.75	5.0476	5.1744	3.5116	2.8391	2	0.0056	17	66	207	44	253	14
1979-5	7905	6.3636	5.0723	5.1748	3.5088	2.927	2.8462	0.0057	12	85	222	60	296	14
1979-6	7906	6.6	5.0495	5.1514	3.6667	2.875	2.3214	0.0058	17	103	266	90	385	30
1979-7	7907	5.3684	5.0333	5.0473	3.7444	2.9149	1.9429	0.0059	20	94	299	94	347	39
1979-8	7908	6.2143	5.156	4.9447	3.5147	2.9551	2.2258	0.006	29	117	274	73	333	32
1979-9	7909	6.0476	5.1964	5.0909	3.7439	2.8198	2.4286	0.0061	22	114	298	83	404	43
1979-10	7910	6.6452	4.9558	5.1285	3.4314	2.7019	2.3333	0.0062	32	119	403	106	399	31
1979-11	7911	6.0435	5.0174	5.0815	3.6705	2.9875	2.381	0.0063	26	122	377	92	426	46
1979-12	7912	6.0357	5.0448	5.2434	3.7976	2.9598	2.3333	0.0064	29	144	442	89	456	29
1979-13	7913	5.9655	5.1185	5.1243	3.6196	2.8825	2.3143	0.0065	31	141	369	100	418	40
1979-14	7914	6.3	5.2231	5.1325	3.5405	2.8491	2.3235	0.0066	32	129	353	79	345	34
1979-15	7915	6.04	4.9022	5.1158	3.6613	2.8	2.6333	0.0067	27	93	272	65	312	31
1979-16	7916	6	5.2804	5.3434	3.7123	2.8664	2.5714	0.0068	29	112	278	75	319	28
1979-17	7917	6.0526	5.0575	5.1404	3.6933	2.9174	2.5789	0.0069	19	94	308	83	348	38
1979-18	7918	6.3	5.2121	5.1471	3.4231	2.8387	2.2045	0.007	21	103	280	82	330	45
1979-19	7919	6.1923	5.2752	5.2135	3.6812	2.8203	2.2973	0.0071	32	117	282	70	333	39
1979-20	7920	6	5.2958	5.1921	3.2813	2.877	2.4348	0.0072	16	73	247	69	268	26
1979-21	7921	6.4783	5.0268	5.0493	3.8026	2.9026	2.5714	0.0073	24	117	239	84	292	34
1979-22	7922	6.2727	5.0946	5.3052	3.7288	2.9183	2.2	0.0074	11	75	236	62	226	26
1979-23	7923	6	5.1368	5.1182	3.6667	2.8462	2.1852	0.0075	14	102	214	61	210	27
1979-24	7924	6.2857	5.0104	5.1924	3.6753	2.9137	2.0385	0.0076	22	103	302	79	266	26
1979-25	7925	6.3158	5.0278	5.097	3.8515	2.8207	2.525	0.0077	20	112	344	111	314	45
1979-26	7926	6.3125	5.1444	5.2482	3.4706	2.8934	2.3333	0.0078	18	94	287	92	292	39
1979-27	7927	6.1538	5.2752	5.0563	3.6729	2.8709	2.5	0.0079	27	114	296	112	316	29
1979-28	7928	6.069	5.2233	5.0967	3.7561	2.8788	2.6765	0.008	34	112	288	91	317	38
1979-29	7929	6.3889	5.1549	5.255	3.5833	2.9153	2.2727	0.0081	20	79	223	69	269	33
1979-30	7930	5.9091	5.3271	5.2049	3.4605	2.9664	2.7234	0.0082	22	110	264	79	287	48
1979-31	7931	6.15	5.0847	5.1538	3.525	2.9356	2.3214	0.0083	20	123	286	86	255	28
1979-32	7932	5.8571	4.8403	4.9564	3.7228	2.9267	2.3902	0.0084	37	127	290	106	285	41
1979-33	7933	6.1071	4.9845	5.1111	3.6582	2.947	2.4375	0.0085	29	135	282	83	327	33
1979-34	7934	6	5.0522	4.9125	3.7097	2.8712	2.6667	0.0086	24	117	338	94	321	42
1979-35	7935	6	5.0084	5.1947	3.7212	2.8953	2.35	0.0087	28	124	278	109	293	41
1979-36	7936	6.087	5.2035	5.1045	3.5806	2.9266	2.325	0.0088	23	116	301	100	275	41
1979-37	7937	6.3462	4.9268	5.1897	3.5521	2.9465	2.2821	0.0089	29	126	308	102	329	40
1979-38	7938	6.0714	5.1798	5.173	3.4545	2.9253	2	0.009	18	97	306	70	297	33
1979-39	7939	6.3704	4.9022	5.0449	3.8571	2.9526	2.7273	0.0091	29	94	264	98	281	24
1979-40	7940	6.38975	5.0193	5.0961	3.80355	2.9286	2.4394	0.0092	0	0	0	0	0	0
1979-41	7941	6.4091	5.1364	5.1473	3.75	2.9046	2.1515	0.0093	22	117	345	87	307	35
1979-42	7942	6.2857	5.0792	5.0417	3.6406	2.9088	2.303	0.0094	29	110	276	135	323	36
1979-43	7943	6.0455	5.2685	5.0172	3.6774	2.9535	2.2381	0.0095	23	115	317	130	320	43
1979-44	7944	6.2667	5.015	5.0388	3.5407	3.1122	2.1915	0.0096	16	140	329	138	314	49
1979-45	7945	6.1905	5.3091	5.0963	3.4615	2.9361	2.122	0.0097	22	117	277	121	291	44
1979-46	7946	6.0938	5.0816	5.1736	3.661	2.9239	2.1667	0.0098	34	106	279	118	300	32
1979-47	7947	6.3333	5.2336	5.1059	3.6389	3.0035	2.5625	0.0099	29	110	252	116	302	34
1979-48	7948	6.069	5.2208	5.1724	3.7037	2.834	2.4444	0.01	34	80	214	87	257	37
1979-49	7949	6.3571	5.0976	5.3578	3.6304	2.9545	2.1667	0.0101	14	87	244	100	220	31
1979-50	7950	6.375	5.1264	5.0553	3.3371	2.9412	2.5	0.0102	17	94	239	97	272	31
1979-51	7951	6.1935	5.1889	5.3009	3.7653	2.7778	2.3529	0.0103	32	95	238	103	247	17
1979-52	7976.5	6.253	5.17365	5.1975	3.6243	2.79745	2.37645	0.0104	0	0	0	0	0	0
1980-1	7976.5	6.253	5.17365	5.1975	3.6243	2.79745	2.37645	0.0105	0	0	0	0	0	0
1980-2	8002	6.3125	5.1584	5.0941	3.4833	2.8171	2.4	0.0106	17	105	267	124	280	26
1980-3	8003	6.2143	5.019	5.1921	3.5481	2.9921	2.4483	0.0107	15	116	247	109	268	32
