Buffalo Minneapolis Kansas
 4.67380 4.66810 4.70860
 4.73180 4.72210 4.74140
 4.72470 4.71670 4.74930
 4.74230 4.73000 4.76220
 4.81540 4.82430 4.90530
 4.81710 4.82270 4.88880
 4.75620 4.75790 4.80890
 4.77490 4.77580 4.81870
 4.78580 4.78420 4.85900
 4.79000 4.78250 4.84180
 4.84730 4.85670 4.93660
 4.82910 4.83870 4.91040
 4.84900 4.84280 4.90990
 4.85951 4.83363 4.98361
 4.82550 4.79445 4.94636
 4.89885 4.85127 4.99034
 4.98715 4.99440 5.09950
 5.14305 5.13446 5.26946
 5.18534 5.17971 5.30235
 5.14858 5.15044 5.26450
 5.14432 5.13629 5.24839
 5.09720 5.14352 5.23622
 5.22378 5.24631 5.27855
 5.29245 5.33230 5.37055
 5.27649 5.28535 5.30618
 5.24859 5.27302 5.31536
 5.33714 5.36708 5.40323
 5.36014 5.38988 5.43232
 5.29766 5.32610 5.37570
 5.22210 5.26461 5.29950
 5.20946 5.22109 5.24508
 5.15593 5.15900 5.15511
 5.14869 5.15444 5.13405
 5.10764 5.10268 5.08116
 5.07458 5.06859 5.02201
 5.13750 5.13388 5.11847
 5.14889 5.16132 5.16143
 5.21786 5.22689 5.24544
 5.22028 5.21849 5.23300
 5.17987 5.17301 5.18387
 5.13071 5.12133 5.11075
 5.16290 5.14124 5.10562
 5.13235 5.12545 5.14615
 5.18053 5.17263 5.16684
 5.13646 5.12748 5.11158
 5.11863 5.10380 5.05784
 5.14374 5.13629 5.08393
 5.14907 5.13212 5.07012
 5.02774 5.00791 4.96162
 4.97034 4.93784 4.93110
 4.96647 4.92221 4.89898
 4.91002 4.86542 4.83683
 4.90820 4.85486 4.82155
 4.90120 4.84354 4.80943
 4.91352 4.85824 4.81608
 4.90955 4.83988 4.77298
 4.81061 4.75873 4.72093
 4.77888 4.73061 4.66042
 4.68687 4.63290 4.58186
 4.73008 4.67942 4.66144
 4.74309 4.69495 4.67145
 4.79482 4.74389 4.70070
 4.81756 4.76615 4.73887
 4.85012 4.78712 4.77737
 4.83178 4.76761 4.76350
 4.87925 4.82060 4.83745
 4.84973 4.78520 4.79172
 4.87672 4.82841 4.83301
 4.97811 4.94963 4.88272
 4.95502 4.92006 4.90204
 4.93643 4.88499 4.87008
 4.94924 4.90373 4.92013
 4.91226 4.86508 4.91709
 4.91659 4.85722 4.91987
 4.92162 4.86648 4.92995
 4.96856 4.92114 4.96185
 4.93240 4.88920 4.94415
 4.89705 4.84846 4.91287
 4.92510 4.87703 4.94248
 4.96835 4.92100 4.99871
 4.94720 4.90927 4.98644
 5.03296 4.99135 5.06578
 5.05933 5.02143 5.09682
 5.19009 5.15751 5.23167
 5.17886 5.14539 5.20232
 5.18162 5.14067 5.20118
 5.17490 5.14996 5.20334
 5.19167 5.16434 5.25160
 5.15994 5.12473 5.23037
 5.14252 5.10422 5.19334
 5.17020 5.13591 5.21901
 5.14838 5.10540 5.16388
 5.10436 5.06209 5.13016
 5.16904 5.13118 5.18424
 5.17862 5.12757 5.16672
 5.23401 5.19187 5.18310
 5.25089 5.18746 5.20418
 5.24928 5.18856 5.23977
 5.25977 5.20075 5.25136
 5.26236 5.20295 5.25864
