Rain Flow
0 0.218
0 0.218
0 0.215
0 0.215
0 0.215
0 0.215
0 0.215
0 0.215
0 0.215
0 0.215
0 0.212
0 0.212
0 0.212
0 0.212
0 0.212
0 0.21
0 0.21
0 0.21
0 0.207
0 0.207
0 0.207
0 0.207
0 0.207
0 0.205
0 0.205
0 0.205
0 0.202
0 0.202
0 0.202
0 0.202
0 0.202
0 0.2
0 0.2
0 0.2
0 0.2
0 0.2
0 0.2
0 0.2
0 0.197
0 0.197
0 0.197
0 0.197
0 0.195
0 0.195
0 0.195
0 0.195
0 0.195
0 0.218
0 0.192
0 0.192
0 0.192
0 0.192
0 0.192
0 0.19
0 0.19
0 0.19
0 0.19
0 0.187
0 0.187
0 0.187
0 0.187
0 0.187
0 0.187
0 0.187
0 0.187
0 0.187
0 0.187
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.182
0 0.182
0 0.182
0 0.182
0 0.182
0 0.182
0 0.182
0 0.18
0 0.18
0 0.178
0 0.178
0 0.18
0.03 0.18
0 0.178
0.03 0.178
0.03 0.175
0 0.175
0.03 0.175
0.07 0.175
0.13 0.175
0.07 0.175
0.07 0.175
0.03 0.175
0.1 0.178
0 0.178
0.03 0.178
0.07 0.178
0.24 0.178
0.1 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0.1 0.18
0 0.18
0.1 0.18
0.1 0.18
0.05 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.178
0 0.178
0.05 0.178
0 0.178
0 0.178
0 0.178
0.05 0.178
0 0.175
0.05 0.175
0.15 0.175
0.1 0.175
0.1 0.175
0.2 0.175
0.1 0.175
0 0.178
0.05 0.178
0.1 0.178
0 0.178
0 0.18
0.1 0.18
0.1 0.182
0.05 0.182
0 0.182
0 0.182
0 0.182
0 0.182
0 0.182
0.15 0.182
0.05 0.182
0.1 0.182
0.15 0.182
0.1 0.182
0.05 0.182
0.05 0.182
0 0.182
0 0.182
0 0.182
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.185
0 0.182
0.05 0.182
0.05 0.182
0 0.182
0 0.182
0 0.18
0 0.18
0 0.18
0.05 0.18
0.05 0.18
0.05 0.18
0 0.18
0 0.18
0.05 0.18
0 0.18
0.05 0.18
0 0.18
0.05 0.18
0 0.18
0 0.18
0 0.18
0 0.18
0 0.178
0 0.178
0 0.178
0.05 0.178
0.1 0.178
0 0.178
0.1 0.178
0 0.178
0 0.178
0 0.178
0 0.178
0 0.178
0.15 0.178
0.05 0.178
0 0.178
0 0.178
0 0.175
0.05 0.175
0 0.175
0 0.175
0 0.175
0 0.175
0 0.175
0 0.175
0 0.175
0 0.173
0 0.173
0.05 0.173
0 0.173
0 0.173
0 0.171
0 0.171
0 0.171
0 0.171
0 0.171
0 0.169
0 0.169
0 0.169
0 0.169
0 0.169
0 0.169
0 0.169
0 0.169
0 0.169
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0.04 0.166
0 0.166
0.04 0.166
0 0.166
0.04 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.166
0 0.164
0.16 0.164
0.04 0.164
0 0.164
0 0.166
0.36 0.166
0.2 0.166
0 0.166
0.2 0.173
1.36 0.182
0.72 0.187
0.24 0.192
0.32 0.197
0.92 0.215
0.88 0.231
0.24 0.243
0.48 0.255
1.2 0.286
1.12 0.299
0.8 0.326
0.68 0.374
0.84 0.411
0.68 0.462
0.2 0.514
0.24 0.564
0.28 0.6
0.28 0.662
0.04 0.739
0 0.784
0.04 0.803
0 0.81
0 0.797
0 0.777
0 0.758
0 0.733
0 0.709
0 0.685
0 0.65
0 0.617
0 0.59
0 0.574
0 0.553
0 0.543
0 0.518
0 0.499
0 0.485
0 0.476
0 0.462
0 0.453
0 0.44
0 0.436
0 0.432
0 0.427
0 0.419
0 0.398
0 0.39
0 0.386
0 0.382
0 0.374
0 0.371
0.08 0.367
0.04 0.363
0 0.359
0 0.355
0.04 0.352
0.04 0.348
0 0.341
0 0.326
0 0.326
0 0.326
0 0.326
0 0.323
0 0.323
0 0.319
0 0.319
0 0.316
0 0.316
0 0.312
0 0.312
0 0.309
0 0.309
0 0.305
0 0.305
0 0.302
0 0.302
0 0.299
0 0.299
0 0.295
0 0.295
0 0.295
0 0.292
0 0.292
0 0.289
0.08 0.289
0 0.289
0 0.286
0.04 0.286
0.04 0.286
0 0.286
0 0.282
0.08 0.282
0 0.282
0 0.282
0.04 0.282
0 0.279
0.04 0.279
0.12 0.279
0.4 0.282
0.56 0.286
0.8 0.289
0.76 0.295
1.24 0.305
1.28 0.323
1.2 0.359
0.96 0.406
0.56 0.476
0.76 0.553
0.48 0.667
0.2 0.987
0.36 1.322
0.2 1.427
0.48 1.506
1.08 1.547
1.12 1.61
0.88 1.674
1.24 1.786
1.12 2.036
1.48 2.405
1.6 2.966
1.6 3.511
1.36 4.161
1.16 4.793
0.96 5.289
1.36 5.656
2.2 6.018
0.84 6.719
1.16 7.236
0.6 7.351
0.64 7.122
0.48 6.61
0.2 6.247
0.08 5.795
0 5.346
0.08 4.991
0 4.582
0 4.194
0 3.937
0 3.689
0 3.496
0.08 3.38
0.04 3.21
0 3.087
0 2.993
0 2.888
0 2.803
0 2.696
0 2.577
0 2.476
0 2.391
0 2.336
0 2.269
0.04 2.202
0 2.163
0.08 2.111
0 2.061
0.04 2.036
0 2.011
0 1.986
0.2 1.914
0.04 1.902
0.16 1.89
0.12 1.855
0.2 1.82
0.16 1.809
0.12 1.786
0.2 1.763
0.08 1.741
0.04 1.718
0.04 1.696
0.04 1.664
0.08 1.642
0.04 1.621
0 1.599
0 1.578
0.04 1.568
0.04 1.537
0 1.517
0 1.496
0 1.486
0.04 1.466
0.04 1.466
0.2 1.456
0.32 1.447
0.16 1.427
0.32 1.437
0.16 1.456
0.08 1.486
0.12 1.496
0.16 1.506
0.04 1.506
0.04 1.506
0.2 1.517
0.16 1.517
0.24 1.517
0.52 1.517
0.44 1.527
0.36 1.547
0.32 1.558
0.08 1.589
0.08 1.621
0.16 1.653
0.12 1.674
0.04 1.674
0.04 1.664
0.16 1.642
0.12 1.621
0.2 1.599
0.08 1.578
0.12 1.558
0.12 1.547
0.12 1.537
0.08 1.527
0.04 1.517
0 1.506
0.12 1.496
0 1.486
0.12 1.476
0.08 1.466
0 1.456
0.16 1.447
0 1.417
0.12 1.417
0 1.398
0.04 1.388
0 1.388
0.16 1.379
0.32 1.369
0.16 1.36
0.4 1.36
0.88 1.388
0.56 1.437
0.76 1.578
0.52 1.786
0.92 2.036
0.6 2.336
0.72 2.726
0.88 3.02
0.52 3.238
0.2 3.309
0.08 3.309
0.04 3.266
0.04 3.183
0.16 3.073
0.12 2.98
0.16 2.875
0.28 2.788
0.08 2.711
0.44 2.681
0.32 2.636
0.48 2.636
0.44 2.636
0.96 2.666
1.48 2.819
3.08 3.073
2.08 3.766
2.24 5.48
2.68 8.093
2.76 10.738
2.16 12.656
1.28 13.791
1.48 14.242
1.28 14.033
1.36 13.757
