Hog_supply Hog_price Corn_supply Corn_price Farm_wages
 6.28786 6.23245 6.80239 6.85013 6.57786
  6.25767 6.49678 6.87109 6.73459 6.57368
  6.24028 6.62141 6.79459 6.81454 6.58479
  6.27099 6.60530 6.95750 6.64379 6.59578
  6.33683 6.39359 6.96319 6.57647 6.60665
  6.38688 6.32077 7.00941 6.45205 6.61740
  6.39693 6.38688 6.91075 6.59987 6.62804
  6.36990 6.50279 6.93245 6.75460 6.61740
  6.31716 6.65415 7.05704 6.51175 6.60665
  6.31536 6.62539 7.06476 6.41182 6.59578
  6.38856 6.53524 7.07412 6.40357 6.61204
  6.45677 6.21060 7.08506 6.12468 6.62804
  6.46303 6.46614 7.12609 6.41673 6.65673
  6.47235 6.52356 7.11639 6.46459 6.68336
  6.45205 6.65673 6.99851 6.74406 6.68336
  6.44413 6.72022 7.12609 6.59715 6.68336
  6.45834 6.62141 7.10497 6.51026 6.68336
  6.49527 6.55678 7.16162 6.38688 6.68586
  6.51471 6.45047 7.18007 6.32615 6.68835
  6.48920 6.49678 7.13170 6.40357 6.69208
  6.44413 6.56386 7.09423 6.51915 6.69208
  6.43775 6.63726 7.20934 6.34739 6.69208
  6.47389 6.52356 7.21597 6.19441 6.69703
  6.52503 6.44095 7.10497 6.61607 6.70073
  6.51619 6.50279 7.22111 6.47851 6.69703
  6.48464 6.68960 7.15305 6.46925 6.69208
  6.46147 6.66185 7.15383 6.41182 6.64769
  6.50429 6.56103 7.09672 6.55820 6.64769
  6.51915 6.48158 7.24708 6.11589 6.65929
  6.53959 6.45990 7.26333 5.94542 6.67077
  6.56527 6.51026 7.21450 6.14419 6.68336
  6.58893 6.50578 7.22330 6.22654 6.70930
  6.56808 6.59167 7.26052 6.26340 6.72623
  6.56244 6.66441 7.26193 6.38856 6.74288
  6.55820 6.73578 7.11802 6.72022 6.76041
  6.52209 6.78672 7.27448 6.48311 6.78446
  6.52503 6.66441 7.24494 6.51175 6.80904
  6.56948 6.64639 7.26473 6.53814 6.83303
  6.58755 6.66313 7.29302 6.49224 6.85541
  6.59167 6.77651 7.30115 6.46614 6.86693
  6.62274 6.65544 7.25630 6.62539 6.87833
  6.64118 6.69703 7.25064 6.70073 6.88959
  6.57925 6.86380 7.25630 6.67203 6.89467
  6.52503 6.87730 7.28276 6.56808 6.89871
  6.61070 6.80572 7.23993 6.72263 6.91175
  6.61070 6.90274 7.29234 6.60935 6.92067
  6.59304 6.92952 7.21303 6.74170 6.91175
  6.58341 6.90575 7.24566 6.74524 6.92067
  6.62407 6.83303 7.28070 6.72143 6.95940
  6.66185 6.97821 7.23346 6.96224 7.04665
  6.63332 7.16549 7.28893 7.05876 7.12930
  6.68336 7.20489 7.23562 7.07496 7.18235
  6.69456 7.17089 7.26403 7.07327 7.23273
  6.65801 7.03351 7.30452 6.69084 7.08171
  6.64639 6.93147 7.29097 6.57088 7.07242
  6.65544 6.99393 7.26683 6.76273 7.11314
  6.73459 6.92067 7.28551 6.81454 7.12125
  6.71296 7.02019 7.20564 6.93440 7.12769
  6.61473 7.08590 7.27725 6.74052 7.13330
  6.57508 7.11883 7.24850 6.76734 7.13330
  6.61204 7.02108 7.25700 6.83303 7.13330
  6.67330 7.01392 7.26263 6.82871 7.13489
  6.64769 7.02909 7.24494 6.80572 7.10906
  6.61473 6.96130 7.18387 6.65544 7.01571
  6.60530 6.66823 7.25205 6.22851 6.88959
  6.65028 6.43615 7.29097 6.21461 6.83411
  6.67582 6.41673 7.22984 6.57368 6.88551
  6.64379 6.68461 7.05704 6.81454 6.92067
  6.38351 7.00670 7.21671 6.70441 6.95177
  6.45047 6.98008 7.07157 6.92658 7.00307
  6.45205 6.95845 7.25982 6.57088 7.00033
  6.47543 6.95464 7.24850 6.53233 6.99393
  6.54965 6.79234 7.25276 6.62539 7.00307
  6.66696 6.82546 7.23706 6.67330 7.08003
  6.59987 7.08423 7.26123 6.77537 7.17242
  6.66185 7.20934 7.30452 6.86901 7.25982
  6.76734 7.12528 7.29438 6.95655 7.31189
  6.82763 7.18083 7.30653 6.94409 7.34213
  6.65157 7.22984 7.28482 7.00670 7.36645
  6.66823 7.34987 7.31788 7.08423 7.38212
  6.62539 7.39756 7.22402 7.19594 7.39572
