Cost CPI
27.70 45.2
28.66 45.2
28.60 45.2
28.34 46.6
28.65 46.6
28.56 46.6
29.17 47.5
29.85 47.5
29.58 47.5
30.34 48.5
31.23 48.5
30.72 48.5
30.28 49.6
31.73 49.6
31.57 49.6
31.30 50.7
31.89 50.7
31.52 50.7
32.33 51.8
33.40 51.8
33.26 51.8
33.67 54.1
33.73 54.1
32.87 54.1
33.33 54.8
34.76 54.8
34.37 54.8
33.87 56.1
34.21 56.1
33.97 56.1
36.87 58.1
36.99 58.1
37.11 58.1
37.01 59.6
38.13 59.6
37.26 59.6
36.67 60.9
39.54 60.9
38.90 60.9
38.01 62.6
38.14 62.6
37.92 62.6
39.46 63.6
40.22 63.6
40.33 63.6
40.23 65.5
40.82 65.5
39.72 65.5
39.46 65.1
42.99 65.1
41.55 65.1
40.09 65.3
40.77 65.3
40.46 65.3
42.82 66.3
43.34 66.3
44.69 66.3
43.46 67.1
44.42 67.1
43.13 67.1
43.22 67.9
46.35 67.9
46.40 67.9
45.07 69.9
45.14 69.9
45.09 69.9
47.52 71.4
48.80 71.4
48.49 71.4
47.73 72.6
49.52 72.6
47.04 72.6
46.29 74.6
50.58 74.6
49.70 74.6
50.12 75.7
50.44 75.7
49.48 75.7
53.99 77.7
55.33 77.7
55.37 77.7
53.02 80
57.29 80
53.84 80
53.40 81.5
59.50 81.5
57.47 81.5
56.61 82.8
58.18 82.8
57.23 82.8
59.83 84.3
60.87 84.3
60.92 84.3
62.99 85.7
66.79 85.7
63.11 85.7
62.10 87
69.84 87
67.68 87
66.16 88.6
69.13 88.6
67.93 88.6
69.11 89.9
72.03 89.9
70.02 89.9
68.59 91.5
73.65 91.5
70.46 91.5
68.84 92.7
75.20 92.7
71.57 92.7
74.01 95.2
75.25 95.2
74.11 95.2
77.02 97.3
78.57 97.3
77.04 97.3
78.36 99.2
82.93 99.2
76.14 99.2
74.87 100.7
83.21 100.7
81.31 100.7
77.49 102.7
81.57 102.7
80.64 102.7
81.78 103.5
85.31 103.5
81.24 103.5
84.23 106.6
88.40 106.6
81.50 106.6
79.94 106.1
82.88 106.1
80.96 106.1
81.89 106.8
81.87 106.8
81.71 106.8
83.85 107.6
86.48 107.6
84.78 107.6
82.91 108.4
87.19 108.4
81.03 108.4
80.98 108.3
84.77 108.3
83.89 108.3
80.53 108.2
81.91 108.2
81.39 108.2
83.18 107.9
86.24 107.9
84.93 107.9
82.31 108.2
86.16 108.2
80.39 108.2
80.94 109.5
84.30 109.5
82.91 109.5
79.38 110.1
86.45 110.1
81.18 110.1
82.39 110.5
84.23 110.5
84.20 110.5
82.47 110.8
86.50 110.8
80.85 110.8
81.15 111.2
83.28 111.2
87.40 111.2
79.90 112
80.93 112
81.76 112
84.86 112.2
87.29 112.2
87.01 112.2
87.49 113.1
87.76 113.1
85.45 113.1
84.92 115
88.77 115
88.71 115
86.40 116.2
88.17 116.2
89.41 116.2
