 NATURALQ  MORANNAT  HEISENAT  BOISENAT  SALMONAT BRUNEUNAT  RIRIENAT   
         1      41.4       0.0       0.0       0.0       0.0       0.0
         2      35.5       0.0       0.0       0.0       0.0       0.0
         3      34.5       0.0       0.0       0.0       0.0       0.0
         4      27.4       0.0       0.0       0.0       0.0       0.0
         5      27.7       0.0       0.0       0.0       0.0       0.0
         6      41.0       0.0       0.0       0.0       0.0       0.0
         7      42.5       0.0       0.0       0.0       0.0       0.0
         8     219.0       0.0       0.0       0.0       0.0       0.0
         9     428.0       0.0       0.0       0.0       0.0       0.0
        10     238.0       0.0       0.0       0.0       0.0       0.0
        11     104.0       0.0       0.0       0.0       0.0       0.0
        12      63.0       0.0       0.0       0.0       0.0       0.0
        13      35.3       0.0       0.0       0.0       0.0       0.0
        14      25.5       0.0       0.0       0.0       0.0       0.0
        15      24.0       0.0       0.0       0.0       0.0       0.0
        16      24.4       0.0       0.0       0.0       0.0       0.0
        17      30.4       0.0       0.0       0.0       0.0       0.0
        18      32.1       0.0       0.0       0.0       0.0       0.0
        19      37.5       0.0       0.0       0.0       0.0       0.0
        20      78.3       0.0       0.0       0.0       0.0       0.0
        21     248.0       0.0       0.0       0.0       0.0       0.0
        22     145.0       0.0       0.0       0.0       0.0       0.0
        23      62.4       0.0       0.0       0.0       0.0       0.0
        24      36.8       0.0       0.0       0.0       0.0       0.0
        25      29.2       0.0       0.0       0.0       0.0       0.0
        26      22.4       0.0       0.0       0.0       0.0       0.0
        27      23.0       0.0       0.0       0.0       0.0       0.0
        28      27.6       0.0       0.0       0.0       0.0       0.0
        29      28.4       0.0       0.0       0.0       0.0       0.0
        30      32.7       0.0       0.0       0.0       0.0       0.0
        31      34.0       0.0       0.0       0.0       0.0       0.0
        32     151.0       0.0       0.0       0.0       0.0       0.0
        33     267.0       0.0       0.0       0.0       0.0       0.0
        34     173.0       0.0       0.0       0.0       0.0       0.0
        35      68.8       0.0       0.0       0.0       0.0       0.0
        36      42.1       0.0       0.0       0.0       0.0       0.0
        37      13.1       0.0       0.0       0.0       0.0       0.0
        38       0.9       0.0       0.0       0.0       0.0       0.0
        39       7.7       0.0       0.0       0.0       0.0       0.0
        40      30.7       0.0       0.0       0.0       0.0       0.0
        41      30.0       0.0       0.0       0.0       0.0       0.0
        42      43.4       0.0       0.0       0.0       0.0       0.0
        43      60.1       0.0       0.0       0.0       0.0       0.0
        44     163.0       0.0       0.0       0.0       0.0       0.0
        45     386.0       0.0       0.0       0.0       0.0       0.0
        46     342.0       0.0       0.0       0.0       0.0       0.0
        47     138.0       0.0       0.0       0.0       0.0       0.0
        48      57.0       0.0       0.0       0.0       0.0       0.0
        49      87.8       0.0       0.0       0.0       0.0       0.0
        50      47.2       0.0       0.0       0.0       0.0       0.0
        51      39.2       0.0       0.0       0.0       0.0       0.0
        52      41.1       0.0       0.0       0.0       0.0       0.0
        53      34.6       0.0       0.0       0.0       0.0       0.0
        54      38.6       0.0       0.0       0.0       0.0       0.0
        55      52.2       0.0       0.0       0.0       0.0       0.0
        56     146.0       0.0       0.0       0.0       0.0       0.0
        57     268.0       0.0       0.0       0.0       0.0       0.0
        58     146.0       0.0       0.0       0.0       0.0       0.0
        59     191.0       0.0       0.0       0.0       0.0       0.0
        60      66.0       0.0       0.0       0.0       0.0       0.0
        61      46.3       0.0       0.0       0.0       0.0       0.0
        62      38.7       0.0       0.0       0.0       0.0       0.0
        63      37.5       0.0       0.0       0.0       0.0       0.0
        64      46.1       0.0       0.0       0.0       0.0       0.0
        65      43.4       0.0       0.0       0.0       0.0       0.0
        66      41.8       0.0       0.0       0.0       0.0       0.0
