Part Number:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
Mar-94,8,16,0,18,1230,21,3,3,0,0,5,0,0,8,7,3,0,8,64,0,3,6,8,3,0,0,2,6,1,5,0,6,0,35,12,0,0,0,0,1,27,0,4,0,27,3,2,1,1,1,1,1,0,17,3,1,9,0,0,2,1,1,3,3,1,0,5,2,20,2,3,9,6,2,3,0,6,110,3,0,3,0,6,5,49,3,1,0,40,0,7,0,10,1,8,10,23,0,10,19,2,0,2,2,0,4,5,0,0,0,1,51,4,0,12,3,1,6,6,20,16,0,24,1,6,1,2,5,0,0,0,3,4,11,12,11,1,2,0,0,12,2,0,19,4,3,0,0,0,0,0,0,7,0,0,0,31,0,4,0,4,2,4,5,0,13,3,0,1,1,1,2,0,1,1,0,0,2,0,1,4,0,0,0,0,3,0,1,0,0,0,12,5,2,2,1,0,0,0,13
Apr-94,3,3,2,44,1200,20,2,2,0,1,4,0,0,6,8,1,0,5,59,1,2,4,3,0,0,0,1,4,0,3,0,6,0,14,22,0,0,0,0,5,21,1,1,2,60,2,5,2,1,2,0,2,1,6,3,2,7,0,0,1,1,0,4,6,0,3,1,5,19,1,0,3,12,1,2,0,2,125,6,0,3,0,8,2,44,1,2,0,50,0,9,0,5,0,4,4,15,1,4,17,0,0,0,1,1,2,11,0,0,0,0,33,0,1,15,5,2,8,11,11,10,2,37,1,3,1,6,3,0,0,0,2,2,8,11,5,2,0,0,4,2,0,0,13,0,0,0,1,0,0,0,0,11,0,0,0,24,0,2,0,5,3,11,16,1,14,8,0,5,0,2,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3,1,1,0,1,1,6,2,2,4,4,1,0,0,5
May-94,16,21,0,44,1120,5,6,1,0,0,2,2,0,5,9,1,0,1,65,1,3,8,7,1,0,1,0,5,1,1,0,7,0,34,15,0,0,0,0,2,11,3,0,2,4,1,6,0,1,0,1,2,2,11,8,1,4,0,0,1,3,2,0,5,1,4,6,4,41,0,0,0,7,1,1,1,1,65,1,0,4,0,6,2,28,2,1,0,40,0,6,0,4,1,8,3,14,4,9,11,3,0,0,0,0,3,23,1,0,0,1,32,0,2,4,3,0,5,2,9,12,1,58,1,3,1,4,3,0,0,0,4,2,7,8,15,1,3,0,2,3,1,2,8,1,0,0,2,0,0,0,0,7,0,0,0,6,0,2,0,4,4,4,12,1,14,7,2,3,2,0,0,3,0,2,0,0,4,1,2,0,0,0,0,0,1,1,2,1,1,1,18,5,0,3,1,3,0,0,11
Jun-94,15,19,0,72,1880,8,3,1,0,0,3,1,0,2,17,0,0,2,73,1,2,6,5,0,0,1,1,1,0,5,1,7,0,28,15,0,0,0,1,1,30,2,1,0,24,5,1,0,1,0,0,1,0,8,6,2,4,1,0,1,4,1,8,1,0,0,7,2,27,0,1,4,7,1,1,1,4,140,2,3,0,0,4,4,35,2,2,0,64,0,4,0,11,6,5,0,19,2,5,17,7,0,1,2,1,1,14,0,0,0,1,51,2,2,8,1,1,5,3,10,6,1,46,0,4,2,1,1,0,0,0,3,2,12,4,13,0,1,0,1,2,0,0,9,3,0,0,0,0,0,0,0,6,0,0,0,59,0,0,0,6,1,3,7,0,11,9,1,1,1,0,0,1,0,1,1,1,1,0,1,3,0,0,0,8,2,2,0,0,2,0,8,3,0,2,0,0,0,0,10
Jul-94,8,11,0,32,1200,10,4,0,0,1,4,1,1,5,10,0,0,3,74,5,1,6,3,1,0,1,0,2,0,2,2,3,0,48,18,0,0,0,0,4,24,5,1,0,54,3,0,2,0,4,0,0,0,7,4,0,0,1,0,0,3,0,3,4,0,0,5,7,25,0,0,0,12,0,3,0,4,90,10,0,1,0,5,3,46,3,3,0,70,0,9,0,4,1,6,6,9,1,6,10,3,0,1,1,0,1,16,1,0,0,0,34,0,0,11,2,0,4,5,8,7,0,36,0,5,2,2,5,0,0,0,5,3,9,9,24,0,1,0,3,4,4,0,31,2,0,0,0,0,0,0,0,15,0,0,0,68,1,2,0,4,4,2,4,1,10,3,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,39,1,2,2,0,0,2,5,2,0,8,0,0,0,0,5
Aug-94,8,29,0,26,1500,19,12,1,0,1,7,1,1,7,10,2,0,4,86,4,2,12,7,0,0,3,0,2,0,3,1,6,1,51,13,2,0,1,0,7,44,1,0,3,29,1,0,2,1,2,0,3,0,9,4,1,5,1,0,3,3,2,3,5,0,3,3,2,32,0,0,1,7,1,2,1,4,35,4,1,3,0,8,1,27,3,1,0,30,0,11,0,8,5,9,6,12,1,6,16,5,0,4,3,1,4,13,2,0,0,1,44,3,1,17,1,0,9,3,8,17,2,52,3,8,1,2,6,0,0,0,3,2,9,12,21,0,1,2,4,15,2,0,20,5,3,1,1,1,0,0,0,7,0,1,3,89,1,6,0,6,10,5,4,0,30,5,1,2,0,0,0,3,0,0,1,1,3,0,0,0,2,0,0,10,1,2,0,0,7,3,7,0,3,3,2,1,0,0,6
Sep-94,1,18,1,45,1320,10,8,2,0,2,7,0,0,6,5,2,0,4,68,1,1,12,3,2,0,1,0,4,0,2,0,3,0,8,12,2,1,0,0,4,26,2,0,0,39,4,1,2,1,0,0,1,0,5,4,1,2,0,0,3,7,0,9,5,0,0,2,5,30,0,0,3,11,3,2,0,5,40,11,0,5,3,5,2,52,4,2,0,30,3,9,0,5,0,11,0,18,0,4,23,1,0,4,1,0,3,11,1,0,0,0,31,1,2,13,5,1,15,1,12,12,0,75,0,15,1,6,1,4,0,0,2,8,17,9,17,0,0,1,1,6,2,0,12,0,0,2,0,0,0,0,0,6,0,0,1,44,0,4,0,6,3,2,13,0,11,5,0,2,1,0,0,0,0,0,0,0,4,1,1,4,0,0,0,1,2,1,2,0,3,1,9,0,1,3,2,0,0,0,6
Oct-94,16,22,0,55,1500,14,6,0,0,2,2,1,0,6,5,0,0,1,40,0,0,7,5,1,0,3,1,2,2,2,1,2,0,94,14,0,0,0,0,2,25,2,0,0,19,1,1,2,0,2,0,1,0,6,7,1,3,0,0,0,0,1,5,5,1,3,1,7,22,4,0,0,11,0,1,0,5,30,11,0,7,0,4,3,14,0,1,0,20,0,12,0,17,4,7,12,19,3,10,16,0,0,2,3,0,1,7,0,0,0,0,28,5,2,8,3,1,4,1,13,7,0,63,0,6,1,9,2,2,0,0,2,2,10,4,18,2,0,1,2,2,2,0,19,4,0,0,0,0,0,0,0,22,0,1,0,58,0,14,0,3,2,3,3,0,10,6,1,1,0,1,0,1,0,0,0,0,3,0,1,1,0,0,0,3,3,2,1,0,1,3,6,0,0,3,1,0,0,0,9
Nov-94,20,17,0,31,1110,39,6,0,0,1,5,0,0,2,5,2,0,1,35,0,2,13,13,1,0,1,1,7,0,1,1,11,0,7,14,0,0,1,0,6,18,2,2,0,44,3,1,0,0,2,0,4,1,7,3,0,6,1,0,3,3,0,2,5,0,0,4,1,15,0,0,2,9,2,3,1,5,45,8,0,1,1,3,2,33,6,3,0,74,0,6,0,12,2,12,3,18,0,7,25,0,0,1,5,0,1,4,0,0,0,0,43,1,4,8,6,2,8,3,15,12,2,42,4,11,1,2,4,2,0,1,0,6,10,6,20,3,1,0,4,2,3,0,12,3,0,3,0,1,1,1,0,12,0,0,1,28,0,6,0,4,3,6,6,0,13,4,1,3,1,1,0,0,0,0,0,1,4,1,0,1,0,0,0,1,7,2,0,0,1,1,12,0,0,1,0,1,0,0,11
Dec-94,12,18,1,25,1000,21,4,2,0,2,0,0,0,3,5,1,0,0,66,0,1,4,4,0,0,0,0,3,1,2,1,10,0,26,15,0,0,0,1,0,15,0,1,1,40,3,1,1,2,0,0,1,0,3,7,1,2,0,0,0,3,0,1,2,0,1,7,6,14,0,2,5,9,1,0,1,6,25,10,1,1,0,1,2,15,2,3,0,4,0,7,0,9,1,7,6,8,1,2,8,1,0,1,0,0,3,6,1,0,0,0,20,0,1,5,1,1,8,3,9,10,0,56,0,4,0,1,3,1,0,0,1,5,4,2,8,2,2,0,1,0,0,0,9,2,0,0,0,0,0,1,0,2,0,3,0,66,0,0,1,7,4,8,2,0,13,15,0,3,0,0,0,0,1,1,1,0,3,1,0,1,5,0,1,4,4,2,0,0,5,0,14,3,1,4,5,0,0,1,1
