"Date" "Chemicals" "Coal" "Petrol"  "Vehicles"
JAN71  3.896 49.780  2.154  4.367
FEB71  4.346 47.029  2.250  5.147
MAR71  4.318 56.920  2.165  5.418
APR71  4.536 54.336  2.223  4.897
MAY71  4.454 50.442  2.190  5.002
JUN71  4.554 49.298  2.288  5.329
JUL71  4.058 39.537  2.250  3.537
AUG71  4.342 56.185  2.251  3.940
SEP71  4.693 54.449  2.281  5.226
OCT71  4.389 11.857  2.320  5.429
NOV71  4.289 26.327  2.285  5.400
DEC71  3.997 56.032  2.279  4.446
JAN72  4.353 49.680  2.319  5.072
FEB72  4.609 49.112  2.396  5.707
MAR72  4.794 54.438  2.397  5.760
APR72  4.975 49.814  2.462  5.807
MAY72  4.859 52.879  2.368  5.865
JUN72  5.027 50.083  2.505  5.909
JUL72  4.382 40.964  2.490  3.681
AUG72  4.798 52.169  2.553  3.895
SEP72  5.076 49.374  2.611  6.247
OCT72  4.979 51.671  2.528  6.629
NOV72  4.845 50.297  2.618  6.670
DEC72  4.740 44.904  2.685  5.520
JAN73  4.885 49.379  2.649  6.710
FEB73  5.579 45.893  2.723  7.134
MAR73  5.741 50.547  2.675  7.097
APR73  5.910 46.999  2.723  6.741
MAY73  5.784 51.420  2.781  7.006
JUN73  5.962 46.613  2.953  7.169
JUL73  5.152 43.801  2.919  5.419
AUG73  5.536 55.874  3.017  4.667
SEP73  5.769 48.338  3.121  6.227
OCT73  5.643 54.380  3.135  7.314
NOV73  5.610 49.825  3.425  6.928
DEC73  5.463 48.668  3.694  4.866
JAN74  5.685 53.530  3.742  5.611
FEB74  6.452 49.851  4.173  5.762
MAR74  6.729 51.027  4.374  5.638
APR74  7.094 54.181  4.499  5.891
MAY74  6.987 57.448  4.725  6.229
JUN74  7.158 47.884  4.983  6.485
JUL74  6.580 49.206  5.068  5.169
AUG74  7.026 51.604  5.104  5.236
SEP74  7.556 52.472  5.056  6.921
OCT74  7.201 60.293  5.042  7.703
NOV74  6.791 33.524  5.116  6.985
DEC74  6.118 39.980  4.970  4.490
JAN75  6.702 55.167  5.108  4.816
FEB75  7.376 51.808  5.266  5.254
MAR75  7.609 52.603  5.166  5.589
APR75  7.829 53.776  5.294  6.004
MAY75  7.558 55.921  5.313  6.037
JUN75  7.620 56.786  5.749  6.439
JUL75  6.923 45.960  5.825  4.820
AUG75  7.607 51.760  6.317  5.180
SEP75  8.003 56.066  6.213  6.589
OCT75  7.838 60.396  6.281  6.886
NOV75  7.375 53.976  6.426  6.531
DEC75  7.282 54.819  6.526  5.888
JAN76  7.615 52.568  6.441  6.765
FEB76  8.530 53.773  6.757  7.675
MAR76  9.107 60.918  6.422  8.295
APR76  9.358 59.145  6.647  8.194
MAY76  8.882 57.934  6.534  8.256
JUN76  9.011 59.680  6.925  9.056
JUL76  8.003 44.318  6.957  6.573
AUG76  8.621 53.622  7.057  7.162
SEP76  9.324 60.634  7.054  7.978
OCT76  8.900 58.999  7.044  8.005
NOV76  8.650 58.780  7.087  9.185
DEC76  8.141 58.414  7.422  8.236
JAN77  8.314 44.679  7.676  8.726
FEB77  9.509 49.260  7.871  9.364
MAR77 10.264 66.776  7.608 10.777
APR77 10.105 60.549  7.755 10.081
MAY77  9.844 62.499  7.757 10.112
JUN77  9.930 63.095  7.964 11.035
JUL77  8.669 49.584  8.087  8.554
AUG77  9.465 57.751  8.083  7.826
SEP77 10.055 69.510  8.077 10.229
OCT77  9.400 67.660  8.295 11.419
NOV77  9.175 68.979  8.137 10.501
DEC77  9.161 31.002  8.346  9.134
JAN78  9.366 23.115  8.005  9.070
FEB78 10.309 23.520  8.151 10.600
MAR78 11.010 38.765  8.019 11.641
APR78 11.434 59.530  8.207 11.920
MAY78 10.841 68.760  8.273 11.780
JUN78 11.161 65.565  8.721 12.035
JUL78  9.605 53.640  8.719  8.645
AUG78 10.241 64.395  8.925  9.141
SEP78 10.914 57.775  9.110 11.290
OCT78 10.704 69.860  8.899 12.987
NOV78 10.435 69.245  9.074 12.532
DEC78 10.425 59.630  9.464 10.566
JAN79 11.117 57.451  9.736 11.891
FEB79 11.701 54.525 10.320 12.956
MAR79 13.268 66.379 10.790 13.669
APR79 12.370 63.531 10.675 11.881
MAY79 12.952 69.058 11.403 13.167
JUN79 13.059 70.287 12.041 11.738
JUL79 11.540 53.252 12.375  8.484
AUG79 11.954 71.181 13.378  7.283
SEP79 12.840 64.189 14.004 10.483
OCT79 12.429 78.070 13.881 11.644
NOV79 12.205 68.037 14.469 10.048
DEC79 12.241 60.339 15.296  8.134
JAN80 12.948 69.105 15.696  8.808
FEB80 13.641 65.180 16.522 10.054
MAR80 14.682 70.473 16.554  9.921
APR80 13.982 69.135 16.039  8.850
MAY80 13.213 70.531 16.394  7.780
JUN80 13.338 70.830 16.693  7.856
JUL80 11.830 60.656 15.875  6.102
AUG80 12.802 67.890 16.218  6.416
SEP80 14.276 68.344 16.254  9.469
OCT80 13.986 71.723 16.818 11.073
NOV80 13.362 68.130 17.647  9.935
DEC80 14.457 71.647 17.963  8.296
JAN81 14.415 65.622 19.128  8.340
FEB81 15.125 70.446 19.425  9.406
MAR81 16.638 77.718 18.351 10.862
APR81 15.765 35.816 18.024 11.119
MAY81 15.565 37.829 18.629 11.430
JUN81 16.140 61.083 19.015 12.158
JUL81 14.063 73.510 18.306  8.390
AUG81 14.738 78.248 18.988  8.530
SEP81 15.743 81.303 18.577  9.579
OCT81 14.310 84.784 18.853 10.511
NOV81 13.822 76.027 18.366  9.140
DEC81 14.133 75.966 18.470  7.516
JAN82 13.833 66.443 17.685  7.148
FEB82 14.861 70.344 16.917  8.727
MAR82 15.806 82.932 15.878 10.142
APR82 15.132 73.155 16.553 10.538
MAY82 15.237 70.656 17.669 10.931
JUN82 15.514 71.231 18.161 11.624
JUL82 13.098 59.868 17.721  8.605
AUG82 14.102 72.091 17.377  8.690
SEP82 14.948 67.203 17.824 10.024
OCT82 13.269 70.068 17.473  9.432
NOV82 13.284 63.043 16.793  8.622
DEC82 13.719 62.177 16.379  7.694
JAN83 13.516 62.454 15.468  9.703
FEB83 14.640 60.394 14.425 11.560
MAR83 15.590 68.553 15.026 12.127
APR83 14.763 61.552 15.659 11.729
MAY83 15.501 62.916 16.073 12.571
JUN83 16.344 61.445 17.092 13.710
JUL83 13.935 54.904 16.829  9.897
AUG83 15.188 72.891 16.896 11.304
SEP83 16.894 69.927 16.987 13.493
OCT83 15.551 71.340 16.200 14.372
NOV83 15.360 68.272 15.864 14.226
DEC83 15.927 63.354 16.051 12.593
JAN84 15.563 67.622 15.166 14.620
FEB84 16.485 73.408 15.294 16.005
MAR84 17.592 81.232 16.176 16.683
APR84 17.036 72.511 16.291 15.487
MAY84 17.091 80.676 15.918 15.684
JUN84 17.861 76.094 16.349 15.962
JUL84 15.408 74.381 15.730 12.000
AUG84 16.329 90.365 15.551 13.769
SEP84 17.277 78.538 16.322 14.031
OCT84 15.855 69.419 15.427 16.078
NOV84 15.434 64.039 15.418 15.827
DEC84 16.299 63.475 15.371 13.149
JAN85 15.911 67.921 13.610 15.969
FEB85 16.618 66.897 14.160 16.628
MAR85 17.756 77.347 14.792 16.670
APR85 17.138 76.241 15.252 16.487
MAY85 16.739 77.979 15.221 16.883
JUN85 17.663 72.731 15.651 16.201
JUL85 14.980 68.821 14.884 12.168
AUG85 15.933 79.212 15.253 14.010
SEP85 17.163 73.596 14.825 16.556
