Vatnsdalsa River (cumecs)	
1-Jan-72	16.10
2-Jan-72	19.20
3-Jan-72	14.50
4-Jan-72	11.00
5-Jan-72	13.60
6-Jan-72	12.50
7-Jan-72	10.50
8-Jan-72	10.10
9-Jan-72	9.68
10-Jan-72	9.02
11-Jan-72	8.80
12-Jan-72	8.58
13-Jan-72	8.14
14-Jan-72	7.50
15-Jan-72	7.92
16-Jan-72	7.92
17-Jan-72	7.71
18-Jan-72	7.10
19-Jan-72	6.70
20-Jan-72	3.98
21-Jan-72	5.16
22-Jan-72	6.10
23-Jan-72	6.90
24-Jan-72	6.90
25-Jan-72	7.10
26-Jan-72	7.30
27-Jan-72	7.30
28-Jan-72	5.71
29-Jan-72	6.90
30-Jan-72	8.14
31-Jan-72	7.50
1-Feb-72	7.10
2-Feb-72	6.90
3-Feb-72	6.70
4-Feb-72	6.70
5-Feb-72	6.90
6-Feb-72	6.90
7-Feb-72	6.70
8-Feb-72	6.50
9-Feb-72	6.50
10-Feb-72	6.70
11-Feb-72	6.90
12-Feb-72	7.10
13-Feb-72	6.70
14-Feb-72	6.70
15-Feb-72	6.70
16-Feb-72	6.90
17-Feb-72	5.34
18-Feb-72	5.34
19-Feb-72	5.90
20-Feb-72	6.30
21-Feb-72	6.90
22-Feb-72	7.92
23-Feb-72	21.00
24-Feb-72	14.20
25-Feb-72	11.60
26-Feb-72	10.10
27-Feb-72	9.24
28-Feb-72	8.58
29-Feb-72	8.14
1-Mar-72	7.92
2-Mar-72	7.71
3-Mar-72	7.71
4-Mar-72	7.50
5-Mar-72	7.10
6-Mar-72	6.90
7-Mar-72	6.90
8-Mar-72	6.90
9-Mar-72	6.50
10-Mar-72	7.71
11-Mar-72	4.65
12-Mar-72	3.98
13-Mar-72	5.16
14-Mar-72	6.10
15-Mar-72	6.10
16-Mar-72	8.14
17-Mar-72	13.60
18-Mar-72	9.68
19-Mar-72	8.36
20-Mar-72	9.24
21-Mar-72	8.58
22-Mar-72	8.36
23-Mar-72	7.92
24-Mar-72	9.02
25-Mar-72	9.02
26-Mar-72	8.15
27-Mar-72	7.92
28-Mar-72	7.50
29-Mar-72	7.30
30-Mar-72	6.90
31-Mar-72	6.90
1-Apr-72	7.50
2-Apr-72	6.70
3-Apr-72	6.70
4-Apr-72	6.90
5-Apr-72	6.70
6-Apr-72	6.50
7-Apr-72	6.30
8-Apr-72	6.30
9-Apr-72	6.30
10-Apr-72	6.30
11-Apr-72	6.10
12-Apr-72	5.90
13-Apr-72	6.50
14-Apr-72	6.30
15-Apr-72	6.10
16-Apr-72	7.10
17-Apr-72	8.14
18-Apr-72	9.90
19-Apr-72	14.20
20-Apr-72	16.50
21-Apr-72	19.20
22-Apr-72	23.50
23-Apr-72	25.20
24-Apr-72	35.90
25-Apr-72	31.50
26-Apr-72	19.20
27-Apr-72	16.90
28-Apr-72	13.60
29-Apr-72	11.00
30-Apr-72	10.10
1-May-72	9.90
2-May-72	10.10
3-May-72	10.30
4-May-72	13.00
5-May-72	20.10
6-May-72	24.10
7-May-72	36.70
8-May-72	32.90
9-May-72	28.70
10-May-72	31.50
11-May-72	33.70
12-May-72	30.80
13-May-72	26.30
14-May-72	21.50
15-May-72	17.30
16-May-72	19.20
17-May-72	16.90
18-May-72	16.10
19-May-72	15.60
20-May-72	18.00
21-May-72	19.70
22-May-72	17.70
23-May-72	16.90
24-May-72	19.70
25-May-72	16.90
26-May-72	14.80
27-May-72	11.30
28-May-72	11.30
29-May-72	10.10
30-May-72	10.10
31-May-72	9.90
1-Jun-72	9.24
2-Jun-72	9.02
3-Jun-72	9.46
4-Jun-72	10.10
5-Jun-72	9.90
6-Jun-72	10.80
7-Jun-72	9.68
8-Jun-72	9.24
9-Jun-72	9.02
10-Jun-72	8.80
11-Jun-72	8.80
12-Jun-72	8.58
13-Jun-72	8.58
14-Jun-72	9.90
15-Jun-72	9.90
16-Jun-72	11.30
17-Jun-72	9.90
18-Jun-72	9.24
19-Jun-72	9.24
20-Jun-72	9.02
21-Jun-72	8.36
22-Jun-72	8.14
23-Jun-72	8.36
24-Jun-72	10.10
25-Jun-72	11.60
26-Jun-72	9.90
27-Jun-72	9.90
28-Jun-72	9.68
29-Jun-72	9.46
30-Jun-72	9.02
1-Jul-72	8.36
2-Jul-72	8.36
3-Jul-72	10.50
4-Jul-72	10.50
5-Jul-72	10.10
6-Jul-72	10.10
7-Jul-72	9.68
8-Jul-72	9.90
9-Jul-72	11.00
10-Jul-72	10.50
11-Jul-72	9.46
12-Jul-72	9.02
13-Jul-72	9.24
14-Jul-72	9.90
15-Jul-72	9.24
16-Jul-72	9.46
17-Jul-72	8.80
18-Jul-72	8.80
19-Jul-72	9.46
20-Jul-72	9.46
21-Jul-72	9.02
22-Jul-72	8.80
23-Jul-72	8.58
24-Jul-72	8.36
25-Jul-72	8.36
26-Jul-72	8.36
27-Jul-72	8.58
28-Jul-72	8.36
29-Jul-72	7.92
30-Jul-72	7.92
31-Jul-72	7.92
1-Aug-72	7.71
2-Aug-72	7.50
3-Aug-72	7.50
4-Aug-72	7.30
5-Aug-72	7.50
6-Aug-72	7.71
7-Aug-72	7.50
8-Aug-72	7.30
9-Aug-72	7.30
10-Aug-72	7.10
11-Aug-72	7.10
12-Aug-72	7.10
13-Aug-72	7.50
14-Aug-72	7.30
15-Aug-72	7.50
16-Aug-72	7.10
17-Aug-72	7.30
18-Aug-72	7.30
19-Aug-72	7.71
20-Aug-72	8.14
21-Aug-72	7.50
22-Aug-72	7.71
23-Aug-72	7.71
24-Aug-72	7.71
25-Aug-72	7.71
26-Aug-72	8.14
27-Aug-72	9.02
28-Aug-72	9.02
29-Aug-72	9.02
30-Aug-72	9.24
31-Aug-72	8.58
1-Sep-72	9.02
2-Sep-72	8.58
3-Sep-72	7.50
