Fortified Drywhite Sweetwhite Red Rose Sparkling Total Month Year
2585    1954      85     464     112    1686   15136 January    1980
3368    2302      89     675     118    1591   16733 February 
3210    3054     109     703     129    2304   20016 March    
3111    2414      95     887      99    1712   17708 April    
3756    2226      91    1139     116    1471   18019 May      
4216    2725      95    1077     168    1377   19227 June     
5225    2589      96    1318     118    1966   22893 July     
4426    3470     128    1260     129    2453   23739 August   
3932    2400     124    1120     205    1984   21133 September
3816    3180     111     963     147    2596   22591 October  
3661    4009     178     996     150    4087   26786 November 
3795    3924     140     960     267    5179   29740 December 
2285    2072     150     530     126    1530   15028 January  
2934    2434     132     883     129    1523   17977 February
2985    2956     155     894     124    1633   20008 March
3646    2828     132    1045      97    1976   21354 April
4198    2687      91    1199     102    1170   19498 May
4935    2629      94    1287     127    1480   22125 June
5618    3150     109    1565     222    1781   25817 July
5454    4119     155    1577     214    2472   28779 August
3624    3030     123    1076     118    1981   20960 September
2898    3055     130     918     141    2273   22254 October
3802    3821     150    1008     154    3857   27392 November
2369    4001     163    1063     226    4551   29945 December
2369    2529     101     544      89    1510   16933 January    1982
2511    2472     123     635      77    1329   17892 February
3079    3134     127     804      82    1518   20533 March
3728    2789     112     980      97    1790   23569 April
4151    2758     108    1018     127    1537   22417 May
4326    2993     116    1064     121    1449   22084 June
5054    3282     153    1404     117    1954   26580 July
5138    3437     163    1286     117    1897   27454 August
3310    2804     128    1104     106    1706   24081 September
3508    3076     142     999     112    2514   23451 October
3790    3782     170     996     134    3593   28991 November
3446    3889     214    1015     169    4524   31386 December
2127    2271     134     615      75    1609   16896 January    1983
2523    2452     122     722     108    1638   20045 February
3017    3084     142     832     115    2030   23471 March
3265    2522     156     977      85    1375   21747 April
3822    2769     145    1270     101    1320   25621 May
4027    3438     169    1437     108    1245   23859 June
4420    2839     134    1520     109    1600   25500 July
5255    3746     165    1708     124    2298   30998 August
4009    2632     156    1151     105    2191   24475 September
3074    2851     111     934      95    2511   23145 October
3465    3871     165    1159     135    3440   29701 November
3718    3618     197    1209     164    4923   34365 December
1954    2389     124     699      88    1609   17556 January    1984
2604    2344     124     830      85    1435   22077 February
3626    2678     139     996     112    2061   25702 March
2836    2492     137    1124      87    1789   22214 April
4042    2858     127    1458      91    1567   26886 May
3584    2246     134    1270      87    1404   23191 June
4225    2800     136    1753      87    1597   27831 July
4523    3869     171    2258     142    3159   35406 August
2892    3007     112    1208      95    1759   23195 September
2876    3023     110    1241     108    2504   25110 October
3420    3907     147    1265     139    4273   30009 November
3159    4209     196    1828     159    5274   36242 December
2101    2353     112     809      61    1771   18450 January    1985
2181    2570     118     997      82    1682   21845 February
2724    2903     125    1164     124    1846   26488 March
2954    2910     122    1205      93    1589   22394 April
4092    3782     120    1538     108    1896   28057 May
3470    2759     118    1513      75    1379   25451 June
3990    2931     281    1378      87    1645   24872 July
4239    3641     344    2083     103    2512   33424 August
2855    2794     366    1357      90    1771   24052 September
2897    3070     362    1536     108    3727   28449 October
3433    3576     580    1526     123    4388   33533 November
3307    4106     523    1376     129    5434   37351 December
1914    2452     348     779      57    1606   19969 January    1986
2214    2206     246    1005      65    1523   21701 February
2320    2488     197    1193      67    1577   26249 March
2714    2416     306    1522      71    1605   24493 April
3633    2534     279    1539      76    1765   24603 May
3295    2521     280    1546      67    1403   26485 June
4377    3093     358    2116     110    2584   30723 July
4442    3903     431    2326     118    3318   34569 August
2774    2907     448    1596      99    1562   26689 September
2840    3025     433    1356      85    2349   26157 October
2828    3812     504    1553     107    3987   32064 November
3758    4209     579    1613     141    5891   38870 December
1610    2138     384     814      58    1389   21337 January    1987
1968    2419     335    1150      65    1442   19419 February
2248    2622     320    1225      70    1548   23166 March
3262    2912     496    1691      86    1935   28286 April
3164    2708     448    1759      93    1518   24570 May
2972    2798     377    1754      74    1250   24001 June
4041    3254     523    2100      87    1847   33151 July
3402    2895     468    2062      73    1930   24878 August
2898    3263     428    2012     101    2638   26804 September
2555    3736     520    1897     100    3114   28967 October
3056    4077     493    1964      96    4405   33311 November
3717    4097     662    2186     157    7242   40226 December
1755    2175     304     966      63    1853   20504 January    1988
2193    3138     308    1549     115    1779   23060 February
2198    2823     313    1538      70    2108   23562 March
2777    2498     328    1612      66    2336   27562 April
3076    2822     354    2078      67    1728   23940 May
3389    2738     338    2137      83    1661   24584 June
4231    4137     483    2907      79    2230   34303 July
3118    3515     355    2249      77    1645   25517 August
2524    3785     439    1883     102    2421   23494 September
2280    3632     290    1739     116    3740   29095 October
2862    4504     352    1828     100    4988   32903 November
3502    4451     454    1868     135    6757   34379 December
1558    2550     306    1138      71    1757   16991 January    1989
1940    2867     303    1430      60    1394   21109 February
2226    3458     344    1809      89    1982   23740 March
2676    2961     254    1763      74    1650   25552 April
3145    3163     309    2200      73    1654   21752 May
3224    2880     310    2067      91    1406   20294 June
4117    3331     379    2503      86    1971   29009 July
3446    3062     294    2141      74    1968   25500 August
2482    3534     356    2103      87    2608   24166 September
2349    3622     318    1972      87    3845   26960 October
2986    4464     405    2181     109    4514   31222 November
3163    5411     545    2344     137    6694   38641 December
1651    2564     268     970      43    1720   14672 January    1990
1725    2820     243    1199      69    1321   17543 February
2622    3508     273    1718      73    1859   25453 March
2316    3088     273    1683      77    1628   32683 April
2976    3299     236    2025      69    1615   22449 May
3263    2939     222    2051      76    1457   22316 June
3951    3320     302    2439      78    1899   27595 July
2917    3418     285    2353      70    1605   25451 August
2380    3604     309    2230      83    2424   25421 September
2458    3495     322    1852      65    3116   25288 October
2883    4163     362    2147     110    4286   32568 November
2579    4882     471    2286     132    6047   35110 December
