Monthly precipitation (millimeter), 01/83 - 04/94  
  38.5  42.4  61.5 104.5 166.8  89.7
  85.5  97.3  76.7  62.0  98.3 113.6
  51.3  80.1  81.1  69.8 108.0 143.8
 106.3 120.8 149.3  30.9  71.3 111.1
  88.4 133.2 131.7  39.0  68.4  64.7
  68.5 179.8  63.0 134.0 149.0  83.9
  44.6  71.5  59.4  80.7  69.5 100.9
 113.8  61.4 236.0  82.7  50.7 108.3
  64.8  19.6  68.2  66.2  68.8  48.7
  34.8  98.6  72.9  83.4 114.5 100.7
  34.5  67.0  49.3  62.9  73.5   9.6
 120.2 114.7  61.9 124.1 116.3  74.4
  53.3  36.2  56.4  64.0  84.6  93.2
  23.4  55.8  58.2  69.1 133.7  72.2
  66.4 133.0  59.3  67.6 125.8 101.4
 144.0 124.4 118.7 107.3 105.4 151.4
  51.3  52.0 111.0  81.0  89.6  76.3
  99.6  52.0  34.9  88.8  91.1  73.6
  93.2  66.3  53.2  86.8  55.0  65.8
 204.6 138.4 150.2  80.4 162.3 101.8
 111.3  40.9  50.3 114.3  59.0 102.1
  91.0  42.4 135.8  74.5  61.0  42.8
  84.5  36.3  60.4  86.1 
