Production record of 210 consecutive yield values.
#Taken from Box, Hunter, and Hunter, *Statistics for Experimenters*, 
#Wiley, 1978, pages 32-3.
85.50000 81.70000 80.60000 84.70000 88.20000 84.90000 81.80000 84.90000 85.20000
81.90000 89.40000 79.00000 81.40000 84.80000 85.90000 88.00000 80.30000 82.60000
83.50000 80.20000 85.20000 87.20000 83.50000 84.30000 82.90000 84.70000 82.90000
81.50000 83.40000 87.70000 81.80000 79.60000 85.80000 77.90000 89.70000 85.40000
86.30000 80.70000 83.80000 90.50000 84.50000 82.40000 86.70000 83.00000 81.80000
89.30000 79.30000 82.70000 88.00000 79.60000 87.80000 83.60000 79.50000 83.30000
88.40000 86.60000 84.60000 79.70000 86.00000 84.20000 83.00000 84.80000 83.60000
81.80000 85.90000 88.20000 83.50000 87.20000 83.70000 87.30000 83.00000 90.50000
80.70000 83.10000 86.50000 90.00000 77.50000 84.70000 84.60000 87.20000 80.50000
86.10000 82.60000 85.40000 84.70000 82.80000 81.90000 83.60000 86.80000 84.00000
84.20000 82.80000 83.00000 82.00000 84.70000 84.40000 88.90000 82.40000 83.00000
85.00000 82.20000 81.60000 86.20000 85.40000 82.10000 81.40000 85.00000 85.80000
84.20000 83.50000 86.50000 85.00000 80.40000 85.70000 86.70000 86.70000 82.30000
86.40000 82.50000 82.00000 79.50000 86.70000 80.50000 91.70000 81.60000 83.90000
85.60000 84.80000 78.40000 89.90000 85.00000 86.20000 83.00000 85.40000 84.40000
84.50000 86.20000 85.60000 83.20000 85.70000 83.50000 80.10000 82.20000 88.60000
82.00000 85.00000 85.20000 85.30000 84.30000 82.30000 89.70000 84.80000 83.10000
80.60000 87.40000 86.80000 83.50000 86.20000 84.10000 82.30000 84.80000 86.60000
83.50000 78.10000 88.80000 81.90000 83.30000 80.00000 87.20000 83.30000 86.60000
79.50000 84.10000 82.20000 90.80000 86.50000 79.70000 81.00000 87.20000 81.60000
84.40000 84.40000 82.20000 88.90000 80.90000 85.10000 87.10000 84.00000 76.50000
82.70000 85.10000 83.30000 90.40000 81.00000 80.30000 79.80000 89.00000 83.70000
80.90000 87.30000 81.10000 85.60000 86.60000 80.00000 86.60000 83.30000 83.10000
82.30000 86.70000 80.20000
