Folder,File,Source,Description,Frequency,Start,Skip,Subject,Format
data,abraham1.dat,Abraham & Ledolter (1983),Quarterly Iowa nonfarm income (1948 � 1979),4,1948,0,Macroeconomic,Row
data,abraham10.dat,Abraham & Ledolter (1983),Monthly demand repair parts large/heavy equip. Iowa 1972 � 1979,12,1972,0,Industry,Row
data,abraham11.dat,Abraham & Ledolter (1983),Montly av. residential gas usage Iowa (cubic feet)*100 �71 � �79,12,1971,0,Utilities,Row
data,abraham12.dat,Abraham & Ledolter (1983),Monthly gasoline demand Ontario gallon millions 1960 � 1975,12,1960,0,Sales,Row
data,abraham13.dat,Abraham & Ledolter (1983),Monthly % changes in Canadian wages and salaries �67 � �75,12,1967,0,Macroeconomic,Row
data,abraham14.dat,Abraham & Ledolter (1983),Monthly sales of U.S. houses (thousands) 1965 � 1975,12,1965,0,Sales,Row
data,abraham2.dat,Abraham & Ledolter (1983),Quarterly growth rates of Iowa nonfarm income (1948 � 1979),4,1948,0,Macroeconomic,Row
data,abraham3.dat,Abraham & Ledolter (1983),Monthly Av. residential electricity usage Iowa city 1971 � 1979,12,1971,0,Utilities,Row
data,abraham4.dat,Abraham & Ledolter (1983),Monthly car sales in Quebec 1960-1968,12,1960,0,Sales,Row
data,abraham5.dat,Abraham & Ledolter (1983),Monthly traffic fatalities in Ontario 1960-1974,12,1960,0,Transport and tourism,Row
data,abraham6.dat,Abraham & Ledolter (1983),Monthly U.S. housing starts (privately owned 1-family) 1965 � 1975,12,1965,0,Microeconomic,Row
data,abraham7.dat,Abraham & Ledolter (1983),Quarterly U.S. new plant/equip. expenditures �64 � �76 billions,4,1964,0,Microeconomic,Row
data,abraham8.dat,Abraham & Ledolter (1983),Four-weekly totals of beer shipments,13,1,0,Production,Row
data,abraham9.dat,Abraham & Ledolter (1983),"Monthly diffs yields: mortgages and govt. loans, Holland �61 � �74",12,1961,0,Macroeconomic,Row
data,adv_sales.dat,Abraham & Ledolter (1983),More advertising and sales data: 36 consecutive monthly sales and advertising expenditures of a dietary weight control product,12,1,0,Sales,Column
data,andrews10.dat,Andrews & Herzberg (1985),Monthly U.S. male (16-19 years) unemployment figures (thousands) 1948-1981,12,1948,0,Labour market,Row
data,andrews11.dat,Andrews & Herzberg (1985),Monthly U.S. male (20 years and over) unemployment figures (10**3) 1948-1981,12,1948,0,Labour market,Row
data,andrews12.dat,Andrews & Herzberg (1985),Monthly U.S. female (16-19 years) unemployment figures (thousands) 1948-1981,12,1948,0,Labour market,Row
data,andrews13.dat,Andrews & Herzberg (1985),Monthly U.S. female (20 years and over) unemployment figures (10**3) 1948-1981,12,1948,0,Labour market,Row
data,andrews14.dat,Andrews & Herzberg (1985),Zuerich monthly sunspot numbers 1749-1983,12,1749,0,Physics,Row
data,andrews15.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot�2B,1,1852,0,Agriculture,Row
data,andrews16.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 3,1,1852,0,Agriculture,Row
data,andrews17.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 5,1,1852,0,Agriculture,Row
data,andrews18.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 6,1,1852,0,Agriculture,Row
data,andrews19.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 7,1,1852,0,Agriculture,Row
data,andrews2.dat,Andrews & Herzberg (1985),"Annual number of lynx pelts (Hudson�s Bay company, Canada) 1857 � 1911",1,1857,0,Ecology,Row
data,andrews20.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 8,1,1852,0,Agriculture,Row
data,andrews21.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 9,1,1852,0,Agriculture,Row
data,andrews22.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 10,1,1852,0,Agriculture,Row
data,andrews23.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 11,1,1852,0,Agriculture,Row
data,andrews24.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 12,1,1852,0,Agriculture,Row
data,andrews25.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 13,1,1852,0,Agriculture,Row
data,andrews26.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 14,1,1852,0,Agriculture,Row
data,andrews27.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 15,1,1852,0,Agriculture,Row
data,andrews28.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 16,1,1852,0,Agriculture,Row
data,andrews29.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 17,1,1852,0,Agriculture,Row
data,andrews3.dat,Andrews & Herzberg (1985),"Annual unit price of lynx pelts (Hudson�s Bay company, Canada) 1857 � 1911",1,1857,0,Ecology,Row
data,andrews30.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 18,1,1852,0,Agriculture,Row
data,andrews31.dat,Andrews & Herzberg (1985),Annual yield of grain on Broadbalk field at Rothamsted 1852-1925: plot 19,1,1852,0,Agriculture,Row
data,andrews32.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�2B,1,1852,0,Agriculture,Row
data,andrews33.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�3,1,1852,0,Agriculture,Row
data,andrews34.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�5,1,1852,0,Agriculture,Row
data,andrews35.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�6,1,1852,0,Agriculture,Row
data,andrews36.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�7,1,1852,0,Agriculture,Row
data,andrews37.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�8,1,1852,0,Agriculture,Row
data,andrews38.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�9,1,1852,0,Agriculture,Row
data,andrews39.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�10,1,1852,0,Agriculture,Row
data,andrews4.dat,Andrews & Herzberg (1985),"Monthly mean thickness (Dobson units) ozone column Arosa, Switzerland 1926-1971",12,1926,0,Physics,Row
data,andrews40.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�11,1,1852,0,Agriculture,Row
data,andrews41.dat,Andrews & Herzberg (1985),Annual yield of straw on Broadbalk field at Rothamsted 1852-1925: plot�12,1,1852,0,Agriculture,Row
